"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",0.999
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",0.999
"128",1
"129",1
"130",0.999
"131",1
"132",1
"133",1
"134",1
"135",0.999
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",0.999
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",0.999
"178",1
"179",0.999
"180",1
"181",0.999
"182",1
"183",0.999
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",0.999
"193",1
"194",0.999
"195",1
"196",0.999
"197",1
"198",1
"199",0.999
"200",0.999
"201",0.999
"202",1
"203",0.998
"204",1
"205",1
"206",0.996
"207",1
"208",1
"209",0.999
"210",0.999
"211",0.999
"212",0.999
"213",0.999
"214",0.999
"215",0.999
"216",1
"217",0.998
"218",0.999
"219",1
"220",0.999
"221",1
"222",0.999
"223",0.999
"224",0.999
"225",0.999
"226",1
"227",0.998
"228",0.999
"229",0.999
"230",1
"231",1
"232",0.999
"233",0.999
"234",0.999
"235",0.998
"236",0.998
"237",0.998
"238",0.998
"239",0.997
"240",0.998
"241",0.998
"242",0.996
"243",0.996
"244",1
"245",0.998
"246",0.999
"247",0.995
"248",0.998
"249",1
"250",0.996
"251",0.997
"252",0.999
"253",0.995
"254",0.997
"255",0.998
"256",0.998
"257",0.999
"258",0.996
"259",0.998
"260",0.998
"261",0.998
"262",0.997
"263",0.997
"264",0.998
"265",0.996
"266",1
"267",0.998
"268",0.997
"269",0.999
"270",0.995
"271",0.996
"272",0.995
"273",0.995
"274",0.993
"275",0.994
"276",0.999
"277",0.989
"278",0.992
"279",0.994
"280",0.993
"281",0.997
"282",0.991
"283",0.997
"284",0.99
"285",0.992
"286",0.995
"287",0.992
"288",0.996
"289",0.995
"290",0.995
"291",0.994
"292",0.995
"293",0.991
"294",0.994
"295",0.995
"296",0.993
"297",0.99
"298",0.986
"299",0.993
"300",0.993
"301",0.996
"302",0.988
"303",0.989
"304",0.993
"305",0.988
"306",0.988
"307",0.992
"308",0.992
"309",0.992
"310",0.99
"311",0.989
"312",0.991
"313",0.985
"314",0.991
"315",0.992
"316",0.985
"317",0.988
"318",0.987
"319",0.986
"320",0.991
"321",0.987
"322",0.982
"323",0.983
"324",0.983
"325",0.987
"326",0.984
"327",0.989
"328",0.984
"329",0.986
"330",0.989
"331",0.993
"332",0.982
"333",0.984
"334",0.98
"335",0.98
"336",0.975
"337",0.993
"338",0.979
"339",0.98
"340",0.982
"341",0.98
"342",0.99
"343",0.978
"344",0.977
"345",0.983
"346",0.977
"347",0.98
"348",0.966
"349",0.973
"350",0.982
"351",0.976
"352",0.977
"353",0.974
"354",0.979
"355",0.971
"356",0.978
"357",0.971
"358",0.968
"359",0.97
"360",0.975
"361",0.966
"362",0.978
"363",0.975
"364",0.973
"365",0.968
"366",0.974
"367",0.975
"368",0.96
"369",0.962
"370",0.964
"371",0.965
"372",0.965
"373",0.96
"374",0.961
"375",0.96
"376",0.962
"377",0.968
"378",0.966
"379",0.952
"380",0.96
"381",0.956
"382",0.965
"383",0.961
"384",0.96
"385",0.958
"386",0.958
"387",0.959
"388",0.948
"389",0.95
"390",0.95
"391",0.949
"392",0.957
"393",0.961
"394",0.943
"395",0.965
"396",0.954
"397",0.942
"398",0.951
"399",0.935
"400",0.957
"401",0.944
