"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",0.999
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",0.999
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",0.999
"209",1
"210",1
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",0.999
"219",1
"220",1
"221",0.999
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",0.999
"233",1
"234",1
"235",1
"236",0.998
"237",0.998
"238",1
"239",0.999
"240",1
"241",0.999
"242",0.998
"243",1
"244",0.999
"245",1
"246",1
"247",1
"248",0.999
"249",0.999
"250",0.998
"251",1
"252",0.999
"253",1
"254",1
"255",0.999
"256",0.999
"257",0.999
"258",1
"259",1
"260",1
"261",0.998
"262",0.999
"263",0.998
"264",0.997
"265",1
"266",0.999
"267",1
"268",1
"269",0.999
"270",0.998
"271",0.997
"272",0.998
"273",0.997
"274",0.997
"275",0.998
"276",0.999
"277",0.997
"278",0.999
"279",0.996
"280",0.996
"281",0.998
"282",0.998
"283",1
"284",0.997
"285",0.998
"286",1
"287",1
"288",0.997
"289",0.997
"290",0.997
"291",0.996
"292",0.997
"293",0.997
"294",0.999
"295",0.999
"296",0.999
"297",0.999
"298",0.998
"299",0.999
"300",0.999
"301",0.996
"302",0.998
"303",0.997
"304",0.997
"305",0.994
"306",0.993
"307",0.998
"308",0.993
"309",0.995
"310",0.993
"311",0.992
"312",0.991
"313",0.989
"314",0.991
"315",0.988
"316",0.996
"317",0.988
"318",0.993
"319",0.999
"320",0.992
"321",0.991
"322",0.994
"323",0.99
"324",0.994
"325",0.99
"326",0.985
"327",0.991
"328",0.994
"329",0.994
"330",0.993
"331",0.991
"332",0.992
"333",0.995
"334",0.995
"335",0.987
"336",0.996
"337",0.991
"338",0.99
"339",0.991
"340",0.99
"341",0.987
"342",0.989
"343",0.994
"344",0.982
"345",0.988
"346",0.989
"347",0.982
"348",0.989
"349",0.986
"350",0.995
"351",0.984
"352",0.991
"353",0.986
"354",0.992
"355",0.988
"356",0.989
"357",0.983
"358",0.987
"359",0.987
"360",0.988
"361",0.993
"362",0.989
"363",0.986
"364",0.983
"365",0.985
"366",0.976
"367",0.982
"368",0.977
"369",0.977
"370",0.973
"371",0.984
"372",0.979
"373",0.984
"374",0.984
"375",0.968
"376",0.979
"377",0.977
"378",0.979
"379",0.987
"380",0.977
"381",0.976
"382",0.986
"383",0.979
"384",0.977
"385",0.976
"386",0.963
"387",0.966
"388",0.971
"389",0.973
"390",0.971
"391",0.972
"392",0.974
"393",0.977
"394",0.966
"395",0.97
"396",0.964
"397",0.959
"398",0.966
"399",0.973
"400",0.97
"401",0.965
"402",0.973
"403",0.966
"404",0.966
"405",0.956
"406",0.963
"407",0.97
"408",0.948
"409",0.962
"410",0.963
"411",0.953
"412",0.952
"413",0.958
"414",0.946
