"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",0.999
"152",1
"153",1
"154",1
"155",1
"156",1
"157",0.999
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",0.999
"177",1
"178",1
"179",0.999
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",0.999
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",0.999
"195",1
"196",1
"197",0.999
"198",1
"199",1
"200",0.998
"201",0.998
"202",1
"203",1
"204",1
"205",1
"206",0.999
"207",1
"208",1
"209",1
"210",1
"211",0.999
"212",1
"213",1
"214",1
"215",0.999
"216",1
"217",0.999
"218",0.997
"219",1
"220",1
"221",1
"222",1
"223",1
"224",0.998
"225",0.999
"226",0.999
"227",1
"228",1
"229",1
"230",0.999
"231",1
"232",1
"233",1
"234",1
"235",0.997
"236",1
"237",0.999
"238",1
"239",0.996
"240",0.999
"241",0.999
"242",0.996
"243",1
"244",0.999
"245",0.997
"246",0.999
"247",0.998
"248",0.999
"249",0.996
"250",0.997
"251",0.997
"252",0.999
"253",0.998
"254",0.997
"255",0.998
"256",0.999
"257",0.999
"258",0.998
"259",1
"260",0.998
"261",0.998
"262",0.996
"263",0.995
"264",0.999
"265",0.994
"266",0.995
"267",0.998
"268",0.997
"269",0.996
"270",0.997
"271",0.995
"272",0.997
"273",0.998
"274",0.998
"275",0.998
"276",0.995
"277",0.996
"278",0.999
"279",0.997
"280",0.998
"281",0.996
"282",0.993
"283",0.997
"284",0.995
"285",0.998
"286",0.995
"287",0.993
"288",0.992
"289",0.996
"290",0.993
"291",0.992
"292",0.993
"293",0.994
"294",0.998
"295",0.988
"296",0.995
"297",0.993
"298",0.994
"299",0.993
"300",0.991
"301",0.994
"302",0.989
"303",0.992
"304",0.992
"305",0.993
"306",0.991
"307",0.99
"308",0.993
"309",0.989
"310",0.99
"311",0.99
"312",0.989
"313",0.995
"314",0.992
"315",0.987
"316",0.993
"317",0.994
"318",0.984
"319",0.993
"320",0.99
"321",0.99
"322",0.989
"323",0.983
"324",0.994
"325",0.989
"326",0.986
"327",0.987
"328",0.988
"329",0.983
"330",0.982
"331",0.987
"332",0.985
"333",0.988
"334",0.989
"335",0.975
"336",0.99
"337",0.993
"338",0.98
"339",0.992
"340",0.981
"341",0.974
"342",0.981
"343",0.982
"344",0.984
"345",0.982
"346",0.983
"347",0.98
"348",0.979
"349",0.98
"350",0.975
"351",0.977
"352",0.983
"353",0.983
"354",0.984
"355",0.972
"356",0.976
"357",0.975
"358",0.978
"359",0.979
"360",0.975
"361",0.98
"362",0.978
"363",0.972
"364",0.98
"365",0.976
"366",0.962
"367",0.981
"368",0.974
"369",0.976
"370",0.967
"371",0.973
"372",0.968
"373",0.971
"374",0.975
"375",0.971
"376",0.975
"377",0.968
"378",0.955
"379",0.972
"380",0.968
"381",0.963
"382",0.963
"383",0.954
"384",0.965
"385",0.953
"386",0.958
"387",0.967
"388",0.962
"389",0.957
"390",0.957
"391",0.95
"392",0.96
"393",0.956
"394",0.952
"395",0.946
"396",0.963
"397",0.952
"398",0.945
"399",0.947
"400",0.956
"401",0.955
"402",0.961
"403",0.966
"404",0.953
"405",0.952
"406",0.95
