"","x"
"1",0.34
"2",0.337
"3",0.355
"4",0.366
"5",0.337
"6",0.344
"7",0.368
"8",0.391
"9",0.372
"10",0.364
"11",0.345
"12",0.328
"13",0.349
"14",0.348
"15",0.374
"16",0.337
"17",0.344
"18",0.351
"19",0.322
"20",0.341
"21",0.342
"22",0.378
"23",0.337
"24",0.329
"25",0.346
"26",0.329
"27",0.362
"28",0.326
"29",0.327
"30",0.357
"31",0.326
"32",0.345
"33",0.328
"34",0.327
"35",0.357
"36",0.366
"37",0.327
"38",0.338
"39",0.348
"40",0.329
"41",0.338
"42",0.336
"43",0.318
"44",0.307
"45",0.319
"46",0.357
"47",0.328
"48",0.322
"49",0.322
"50",0.326
"51",0.318
"52",0.343
"53",0.351
"54",0.337
"55",0.321
"56",0.323
"57",0.322
"58",0.352
"59",0.329
"60",0.309
"61",0.309
"62",0.301
"63",0.345
"64",0.319
"65",0.345
"66",0.309
"67",0.327
"68",0.342
"69",0.327
"70",0.319
"71",0.314
"72",0.334
"73",0.314
"74",0.321
"75",0.329
"76",0.336
"77",0.342
"78",0.324
"79",0.309
"80",0.313
"81",0.329
"82",0.324
"83",0.298
"84",0.299
"85",0.29
"86",0.318
"87",0.317
"88",0.313
"89",0.318
"90",0.306
"91",0.299
"92",0.316
"93",0.309
"94",0.309
"95",0.319
"96",0.32
"97",0.304
"98",0.322
"99",0.295
"100",0.311
"101",0.293
"102",0.309
"103",0.334
"104",0.329
"105",0.312
"106",0.329
"107",0.305
"108",0.269
"109",0.298
"110",0.325
"111",0.298
"112",0.322
"113",0.302
"114",0.293
"115",0.319
"116",0.285
"117",0.316
"118",0.291
"119",0.303
"120",0.277
"121",0.311
"122",0.306
"123",0.319
"124",0.305
"125",0.275
"126",0.288
"127",0.301
"128",0.303
"129",0.315
"130",0.288
"131",0.321
"132",0.282
"133",0.285
"134",0.276
"135",0.314
"136",0.273
"137",0.287
"138",0.284
"139",0.266
"140",0.271
"141",0.263
"142",0.296
"143",0.274
"144",0.276
"145",0.288
"146",0.266
"147",0.287
"148",0.306
"149",0.304
"150",0.29
"151",0.245
"152",0.271
"153",0.273
"154",0.302
"155",0.272
"156",0.281
"157",0.301
"158",0.275
"159",0.299
"160",0.29
"161",0.254
"162",0.278
"163",0.287
"164",0.296
"165",0.29
"166",0.264
"167",0.265
"168",0.272
"169",0.249
"170",0.256
"171",0.27
"172",0.28
"173",0.282
"174",0.277
"175",0.263
"176",0.278
"177",0.259
"178",0.27
"179",0.289
"180",0.287
"181",0.302
"182",0.251
"183",0.268
"184",0.264
"185",0.261
"186",0.252
"187",0.255
"188",0.259
"189",0.277
"190",0.253
"191",0.239
"192",0.254
"193",0.281
"194",0.275
"195",0.287
"196",0.261
"197",0.252
"198",0.24
"199",0.229
"200",0.261
"201",0.263
"202",0.247
"203",0.274
"204",0.264
"205",0.255
"206",0.272
"207",0.247
"208",0.264
"209",0.239
"210",0.231
"211",0.235
"212",0.251
"213",0.254
"214",0.248
"215",0.272
"216",0.247
"217",0.226
"218",0.235
"219",0.243
"220",0.249
"221",0.25
"222",0.277
"223",0.258
"224",0.258
"225",0.239
"226",0.239
"227",0.235
"228",0.261
"229",0.254
"230",0.237
"231",0.279
"232",0.242
"233",0.239
"234",0.25
"235",0.257
"236",0.248
"237",0.25
"238",0.237
"239",0.258
"240",0.257
"241",0.259
"242",0.246
"243",0.244
"244",0.248
"245",0.248
"246",0.244
"247",0.212
"248",0.25
"249",0.248
"250",0.209
"251",0.245
"252",0.252
"253",0.225
"254",0.215
"255",0.243
"256",0.224
"257",0.233
"258",0.242
"259",0.246
"260",0.234
"261",0.199
"262",0.247
"263",0.235
"264",0.226
"265",0.233
"266",0.235
"267",0.231
"268",0.233
"269",0.244
"270",0.211
"271",0.214
"272",0.232
"273",0.226
"274",0.223
"275",0.237
"276",0.232
"277",0.225
"278",0.237
"279",0.218
"280",0.21
"281",0.226
"282",0.235
"283",0.208
"284",0.237
"285",0.222
"286",0.231
"287",0.234
"288",0.233
"289",0.225
"290",0.24
"291",0.204
"292",0.222
"293",0.208
"294",0.228
"295",0.196
"296",0.214
"297",0.21
"298",0.212
"299",0.221
"300",0.215
"301",0.225
"302",0.22
"303",0.224
"304",0.191
"305",0.225
"306",0.204
"307",0.211
"308",0.206
"309",0.208
"310",0.212
"311",0.206
"312",0.234
