"","x"
"1",0.203
"2",0.203
"3",0.196
"4",0.209
"5",0.237
"6",0.207
"7",0.228
"8",0.189
"9",0.211
"10",0.199
"11",0.205
"12",0.212
"13",0.182
"14",0.185
"15",0.208
"16",0.19
"17",0.186
"18",0.212
"19",0.207
"20",0.19
"21",0.208
"22",0.206
"23",0.236
"24",0.198
"25",0.174
"26",0.215
"27",0.218
"28",0.219
"29",0.197
"30",0.182
"31",0.195
"32",0.198
"33",0.194
"34",0.221
"35",0.193
"36",0.197
"37",0.196
"38",0.196
"39",0.199
"40",0.212
"41",0.185
"42",0.197
"43",0.202
"44",0.196
"45",0.209
"46",0.187
"47",0.199
"48",0.191
"49",0.201
"50",0.182
"51",0.216
"52",0.206
"53",0.194
"54",0.204
"55",0.193
"56",0.191
"57",0.196
"58",0.184
"59",0.187
"60",0.204
"61",0.169
"62",0.191
"63",0.206
"64",0.185
"65",0.187
"66",0.199
"67",0.186
"68",0.189
"69",0.18
"70",0.194
"71",0.19
"72",0.181
"73",0.183
"74",0.191
"75",0.172
"76",0.18
"77",0.189
"78",0.178
"79",0.173
"80",0.179
"81",0.164
"82",0.184
"83",0.2
"84",0.166
"85",0.173
"86",0.176
"87",0.179
"88",0.192
"89",0.193
"90",0.163
"91",0.184
"92",0.166
"93",0.168
"94",0.201
"95",0.181
"96",0.188
"97",0.184
"98",0.159
"99",0.201
"100",0.184
"101",0.194
"102",0.182
"103",0.154
"104",0.152
"105",0.195
"106",0.195
"107",0.19
"108",0.197
"109",0.179
"110",0.183
"111",0.185
"112",0.148
"113",0.171
"114",0.179
"115",0.178
"116",0.203
"117",0.197
"118",0.158
"119",0.184
"120",0.183
"121",0.188
"122",0.16
"123",0.166
"124",0.163
"125",0.166
"126",0.186
"127",0.166
"128",0.171
"129",0.179
"130",0.175
"131",0.177
"132",0.178
"133",0.175
"134",0.172
"135",0.168
"136",0.151
"137",0.178
"138",0.177
"139",0.162
"140",0.167
"141",0.154
"142",0.174
"143",0.153
"144",0.19
"145",0.167
"146",0.163
"147",0.169
"148",0.16
"149",0.183
"150",0.175
"151",0.176
"152",0.187
"153",0.158
"154",0.16
"155",0.173
"156",0.158
"157",0.164
"158",0.152
"159",0.172
"160",0.159
"161",0.169
"162",0.158
"163",0.171
"164",0.147
"165",0.176
"166",0.157
"167",0.177
"168",0.157
"169",0.168
"170",0.165
"171",0.16
"172",0.163
"173",0.165
"174",0.177
"175",0.148
"176",0.156
"177",0.133
"178",0.153
"179",0.152
"180",0.173
"181",0.166
"182",0.167
"183",0.175
"184",0.165
"185",0.151
"186",0.146
"187",0.149
"188",0.169
"189",0.145
"190",0.157
"191",0.148
"192",0.152
"193",0.154
"194",0.156
"195",0.161
"196",0.153
"197",0.147
"198",0.166
"199",0.149
"200",0.158
"201",0.158
"202",0.144
"203",0.159
"204",0.136
"205",0.158
"206",0.155
"207",0.128
"208",0.159
"209",0.162
"210",0.154
"211",0.14
"212",0.141
"213",0.141
"214",0.135
"215",0.163
"216",0.146
"217",0.157
"218",0.14
"219",0.147
"220",0.133
"221",0.133
"222",0.155
"223",0.158
"224",0.135
"225",0.126
"226",0.134
"227",0.127
"228",0.15
"229",0.143
"230",0.142
"231",0.143
"232",0.126
"233",0.152
"234",0.147
"235",0.145
"236",0.142
"237",0.15
"238",0.149
"239",0.153
"240",0.147
"241",0.151
"242",0.148
"243",0.145
"244",0.135
"245",0.127
"246",0.146
"247",0.154
"248",0.139
"249",0.139
"250",0.13
"251",0.151
"252",0.135
"253",0.137
"254",0.148
"255",0.155
"256",0.141
"257",0.124
"258",0.128
"259",0.151
"260",0.13
"261",0.146
"262",0.139
"263",0.125
"264",0.134
"265",0.148
"266",0.115
"267",0.155
"268",0.139
"269",0.148
"270",0.126
"271",0.121
"272",0.131
"273",0.152
"274",0.129
"275",0.146
"276",0.15
"277",0.12
"278",0.131
"279",0.131
"280",0.137
"281",0.14
"282",0.131
"283",0.138
"284",0.116
"285",0.142
"286",0.126
"287",0.128
"288",0.117
"289",0.134
"290",0.132
"291",0.14
"292",0.128
"293",0.125
"294",0.131
"295",0.148
"296",0.139
"297",0.142
"298",0.132
"299",0.122
"300",0.117
"301",0.151
"302",0.121
"303",0.131
"304",0.148
"305",0.131
"306",0.138
"307",0.145
"308",0.131
"309",0.131
"310",0.123
"311",0.138
"312",0.135
"313",0.123
"314",0.129
"315",0.154
"316",0.116
"317",0.135
"318",0.137
"319",0.115
"320",0.116
"321",0.135
"322",0.109
"323",0.136
"324",0.121
"325",0.133
"326",0.117
"327",0.124
"328",0.137
"329",0.136
"330",0.134
"331",0.135
"332",0.126
"333",0.131
"334",0.127
"335",0.132
"336",0.153
"337",0.127
"338",0.129
"339",0.151
"340",0.114
"341",0.101
"342",0.133
"343",0.126
"344",0.13
"345",0.114
"346",0.101
"347",0.132
"348",0.145
"349",0.125
"350",0.121
"351",0.125
"352",0.12
"353",0.139
"354",0.146
"355",0.108
"356",0.112
"357",0.129
"358",0.131
"359",0.114
"360",0.117
"361",0.105
"362",0.132
"363",0.105
"364",0.136
"365",0.112
"366",0.127
"367",0.118
"368",0.113
"369",0.116
"370",0.119
"371",0.104
"372",0.124
"373",0.116
"374",0.107
"375",0.125
"376",0.137
"377",0.116
"378",0.101
"379",0.116
"380",0.114
"381",0.115
"382",0.123
"383",0.113
"384",0.117
"385",0.104
"386",0.115
"387",0.138
"388",0.119
"389",0.108
"390",0.113
"391",0.11
"392",0.102
"393",0.099
"394",0.111
"395",0.106
"396",0.112
"397",0.114
"398",0.111
"399",0.115
"400",0.105
"401",0.1
"402",0.126
"403",0.13
"404",0.115
"405",0.107
"406",0.1
"407",0.108
"408",0.115
"409",0.116
"410",0.117
"411",0.116
"412",0.103
"413",0.077
