"","x"
"1",0.03
"2",0.025
"3",0.029
"4",0.025
"5",0.031
"6",0.032
"7",0.034
"8",0.03
"9",0.032
"10",0.029
"11",0.034
"12",0.027
"13",0.041
"14",0.037
"15",0.046
"16",0.032
"17",0.039
"18",0.026
"19",0.041
"20",0.058
"21",0.037
"22",0.032
"23",0.03
"24",0.039
"25",0.027
"26",0.04
"27",0.035
"28",0.052
"29",0.04
"30",0.032
"31",0.04
"32",0.037
"33",0.051
"34",0.033
"35",0.038
"36",0.039
"37",0.044
"38",0.054
"39",0.047
"40",0.038
"41",0.041
"42",0.038
"43",0.054
"44",0.048
"45",0.043
"46",0.054
"47",0.033
"48",0.048
"49",0.046
"50",0.039
"51",0.046
"52",0.05
"53",0.04
"54",0.054
"55",0.047
"56",0.056
"57",0.055
"58",0.049
"59",0.038
"60",0.054
"61",0.059
"62",0.059
"63",0.048
"64",0.061
"65",0.077
"66",0.063
"67",0.047
"68",0.05
"69",0.048
"70",0.034
"71",0.06
"72",0.079
"73",0.049
"74",0.044
"75",0.058
"76",0.051
"77",0.056
"78",0.053
"79",0.059
"80",0.069
"81",0.057
"82",0.065
"83",0.06
"84",0.063
"85",0.062
"86",0.062
"87",0.058
"88",0.062
"89",0.064
"90",0.051
"91",0.069
"92",0.072
"93",0.068
"94",0.065
"95",0.062
"96",0.061
"97",0.059
"98",0.058
"99",0.067
"100",0.055
"101",0.058
"102",0.073
"103",0.065
"104",0.062
"105",0.056
"106",0.052
"107",0.061
"108",0.058
"109",0.048
"110",0.05
"111",0.057
"112",0.062
"113",0.067
"114",0.068
"115",0.073
"116",0.059
"117",0.06
"118",0.075
"119",0.069
"120",0.05
"121",0.058
"122",0.074
"123",0.079
"124",0.078
"125",0.06
"126",0.062
"127",0.06
"128",0.065
"129",0.072
"130",0.066
"131",0.067
"132",0.075
"133",0.07
"134",0.071
"135",0.071
"136",0.075
"137",0.078
"138",0.076
"139",0.068
"140",0.06
"141",0.087
"142",0.062
"143",0.066
"144",0.07
"145",0.074
"146",0.063
"147",0.069
"148",0.076
"149",0.08
"150",0.087
"151",0.076
"152",0.053
"153",0.066
"154",0.071
"155",0.07
"156",0.08
"157",0.086
"158",0.065
"159",0.078
"160",0.088
"161",0.087
"162",0.076
"163",0.083
"164",0.092
"165",0.086
"166",0.08
"167",0.08
"168",0.075
"169",0.074
"170",0.075
"171",0.077
"172",0.075
"173",0.087
"174",0.085
"175",0.081
"176",0.089
"177",0.076
"178",0.097
"179",0.099
"180",0.094
"181",0.092
"182",0.092
"183",0.086
"184",0.072
"185",0.069
"186",0.069
"187",0.087
"188",0.085
"189",0.078
"190",0.076
"191",0.08
"192",0.075
"193",0.073
"194",0.079
"195",0.082
"196",0.08
"197",0.078
"198",0.091
"199",0.085
"200",0.098
"201",0.097
"202",0.071
"203",0.101
"204",0.087
"205",0.082
"206",0.081
"207",0.092
"208",0.095
"209",0.08
"210",0.092
"211",0.08
"212",0.086
"213",0.092
"214",0.089
"215",0.094
"216",0.078
"217",0.089
"218",0.083
"219",0.094
"220",0.08
"221",0.092
"222",0.093
"223",0.099
"224",0.084
"225",0.09
"226",0.073
"227",0.103
"228",0.106
"229",0.085
"230",0.098
"231",0.117
"232",0.096
"233",0.094
"234",0.087
"235",0.08
"236",0.087
"237",0.085
"238",0.103
"239",0.101
"240",0.09
"241",0.08
"242",0.093
"243",0.107
"244",0.098
"245",0.102
"246",0.097
"247",0.107
"248",0.092
"249",0.087
"250",0.097
"251",0.105
"252",0.086
"253",0.093
"254",0.105
"255",0.106
"256",0.085
"257",0.084
"258",0.08
"259",0.089
"260",0.1
"261",0.107
"262",0.088
"263",0.086
"264",0.113
"265",0.083
"266",0.102
"267",0.103
"268",0.092
"269",0.092
"270",0.088
"271",0.084
"272",0.11
"273",0.082
"274",0.086
"275",0.118
"276",0.086
"277",0.095
"278",0.11
"279",0.103
"280",0.095
"281",0.113
"282",0.101
"283",0.108
"284",0.112
"285",0.094
"286",0.101
"287",0.098
"288",0.106
"289",0.081
"290",0.096
"291",0.107
"292",0.109
"293",0.1
"294",0.098
"295",0.096
"296",0.103
"297",0.108
"298",0.108
"299",0.109
"300",0.094
"301",0.12
"302",0.106
"303",0.11
"304",0.11
"305",0.098
"306",0.106
"307",0.095
"308",0.116
"309",0.111
"310",0.105
"311",0.12
"312",0.092
"313",0.107
"314",0.095
"315",0.091
"316",0.109
"317",0.093
"318",0.109
"319",0.102
"320",0.094
"321",0.101
"322",0.094
"323",0.101
"324",0.091
"325",0.105
"326",0.109
"327",0.097
"328",0.123
"329",0.094
"330",0.1
"331",0.098
"332",0.1
"333",0.097
"334",0.103
"335",0.115
"336",0.128
"337",0.092
"338",0.108
"339",0.101
"340",0.099
"341",0.109
"342",0.078
"343",0.092
"344",0.111
"345",0.102
"346",0.098
"347",0.102
"348",0.111
"349",0.109
"350",0.105
"351",0.107
"352",0.109
"353",0.1
"354",0.115
"355",0.082
"356",0.121
"357",0.119
"358",0.098
"359",0.112
"360",0.1
"361",0.125
"362",0.09
"363",0.1
"364",0.102
"365",0.096
"366",0.095
"367",0.11
"368",0.098
"369",0.103
"370",0.111
"371",0.109
"372",0.112
"373",0.105
"374",0.091
"375",0.127
"376",0.106
"377",0.107
"378",0.126
"379",0.102
"380",0.097
"381",0.096
"382",0.098
"383",0.091
"384",0.102
"385",0.104
