"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",0.999
"88",1
"89",1
"90",0.999
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",0.999
"98",1
"99",1
"100",1
"101",1
"102",0.999
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",0.999
"120",1
"121",1
"122",1
"123",1
"124",0.999
"125",1
"126",1
"127",1
"128",1
"129",0.999
"130",1
"131",1
"132",1
"133",0.998
"134",0.999
"135",1
"136",1
"137",1
"138",0.999
"139",1
"140",1
"141",1
"142",0.999
"143",1
"144",1
"145",1
"146",0.999
"147",1
"148",1
"149",0.999
"150",1
"151",1
"152",1
"153",1
"154",1
"155",0.999
"156",0.998
"157",1
"158",1
"159",1
"160",0.999
"161",1
"162",0.998
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",0.999
"170",1
"171",0.999
"172",1
"173",1
"174",1
"175",1
"176",0.999
"177",0.999
"178",1
"179",1
"180",0.999
"181",1
"182",1
"183",0.996
"184",0.998
"185",1
"186",1
"187",1
"188",0.998
"189",0.998
"190",0.999
"191",0.999
"192",0.998
"193",0.998
"194",1
"195",0.999
"196",0.999
"197",0.999
"198",0.997
"199",0.999
"200",0.998
"201",0.996
"202",0.999
"203",0.998
"204",0.999
"205",0.996
"206",0.997
"207",0.997
"208",0.997
"209",0.997
"210",0.999
"211",0.995
"212",0.998
"213",0.999
"214",0.998
"215",0.998
"216",0.998
"217",0.997
"218",0.999
"219",1
"220",0.997
"221",0.998
"222",0.998
"223",1
"224",0.998
"225",0.998
"226",0.994
"227",0.995
"228",0.997
"229",0.991
"230",0.996
"231",0.997
"232",0.999
"233",0.999
"234",0.999
"235",0.997
"236",0.995
"237",0.996
"238",0.996
"239",0.998
"240",0.996
"241",0.994
"242",0.994
"243",0.995
"244",0.997
"245",0.996
"246",0.996
"247",0.992
"248",0.999
"249",0.991
"250",0.997
"251",0.995
"252",0.997
"253",0.994
"254",0.993
"255",0.999
"256",0.995
"257",0.993
"258",0.997
"259",0.995
"260",0.992
"261",0.996
"262",0.996
"263",0.99
"264",0.997
"265",0.995
"266",0.993
"267",0.992
"268",0.99
"269",0.992
"270",0.993
"271",0.991
"272",0.996
"273",0.991
"274",0.995
"275",0.991
"276",0.994
"277",0.993
"278",0.99
"279",0.993
"280",0.994
"281",0.992
"282",0.984
"283",0.989
"284",0.993
"285",0.992
"286",0.989
"287",0.993
"288",0.991
"289",0.986
"290",0.984
"291",0.986
"292",0.985
"293",0.99
"294",0.986
"295",0.988
"296",0.984
"297",0.993
"298",0.976
"299",0.994
"300",0.987
"301",0.987
"302",0.991
"303",0.983
"304",0.983
"305",0.987
"306",0.994
"307",0.983
"308",0.981
"309",0.993
"310",0.987
"311",0.988
"312",0.985
"313",0.982
"314",0.988
"315",0.978
"316",0.984
"317",0.981
"318",0.981
"319",0.985
"320",0.981
"321",0.98
"322",0.979
"323",0.981
"324",0.971
"325",0.979
"326",0.983
"327",0.966
"328",0.982
"329",0.982
"330",0.975
"331",0.975
"332",0.976
"333",0.977
"334",0.972
"335",0.976
"336",0.976
"337",0.968
"338",0.981
"339",0.975
"340",0.976
"341",0.974
"342",0.976
"343",0.969
"344",0.967
"345",0.967
"346",0.957
"347",0.96
"348",0.963
"349",0.959
"350",0.969
"351",0.966
"352",0.968
"353",0.97
"354",0.968
"355",0.959
"356",0.964
"357",0.962
"358",0.976
"359",0.962
"360",0.957
"361",0.969
"362",0.963
"363",0.948
"364",0.957
"365",0.955
"366",0.96
"367",0.962
"368",0.957
"369",0.947
"370",0.958
"371",0.965
"372",0.951
"373",0.953
"374",0.964
"375",0.951
"376",0.96
"377",0.943
"378",0.953
"379",0.952
"380",0.941
"381",0.953
"382",0.951
"383",0.948
"384",0.936
"385",0.941
"386",0.945
"387",0.933
"388",0.952
"389",0.943
"390",0.941
"391",0.939
