"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.9999
"8",0.9999
"9",1
"10",0.9999
"11",0.9999
"12",1
"13",1
"14",1
"15",0.9999
"16",0.9998
"17",1
"18",0.9999
"19",0.9999
"20",0.9999
"21",0.9998
"22",0.9999
"23",1
"24",0.9999
"25",0.9997
"26",0.9998
"27",0.9999
"28",0.9998
"29",0.9999
"30",0.9993
"31",0.9996
"32",0.9996
"33",0.9994
"34",0.9997
"35",0.9996
"36",0.9995
"37",0.9995
"38",0.9995
"39",0.9994
"40",0.9993
"41",0.9993
"42",0.9993
"43",0.9994
"44",0.9992
"45",0.9994
"46",0.9991
"47",0.9994
"48",0.9988
"49",0.999
"50",0.9996
"51",0.9992
"52",0.9988
"53",0.9986
"54",0.9984
"55",0.998
"56",0.9979
"57",0.9988
"58",0.9976
"59",0.9982
"60",0.9982
"61",0.998
"62",0.9975
"63",0.9975
"64",0.9977
"65",0.9974
"66",0.9977
"67",0.9967
"68",0.998
"69",0.9973
"70",0.9979
"71",0.9966
"72",0.9967
"73",0.9975
"74",0.9962
"75",0.9973
"76",0.9963
"77",0.9955
"78",0.9963
"79",0.994
"80",0.9959
"81",0.9955
"82",0.9946
"83",0.994
"84",0.9946
"85",0.9938
"86",0.9956
"87",0.9949
"88",0.9936
"89",0.9937
"90",0.9945
"91",0.993
"92",0.995
"93",0.9926
"94",0.9936
"95",0.9928
"96",0.9932
"97",0.9923
"98",0.9911
"99",0.9915
"100",0.9918
"101",0.9911
"102",0.9922
"103",0.9885
"104",0.9912
"105",0.9891
"106",0.9896
"107",0.9888
"108",0.9892
"109",0.9892
"110",0.9872
"111",0.9865
"112",0.9888
"113",0.9867
"114",0.9863
"115",0.988
"116",0.9872
"117",0.9854
"118",0.9851
"119",0.9852
"120",0.986
"121",0.985
"122",0.9818
"123",0.9867
"124",0.9846
"125",0.981
"126",0.9847
"127",0.9813
"128",0.9813
"129",0.9794
"130",0.9797
"131",0.9804
"132",0.9804
"133",0.9783
"134",0.9806
"135",0.9798
"136",0.9767
"137",0.978
"138",0.9776
"139",0.9757
"140",0.9773
"141",0.9744
"142",0.9745
"143",0.9762
"144",0.973
"145",0.9756
"146",0.9706
"147",0.9695
"148",0.9701
"149",0.9696
"150",0.9687
"151",0.9694
"152",0.9715
"153",0.9728
"154",0.968
"155",0.9663
"156",0.9684
"157",0.9677
"158",0.9666
"159",0.967
"160",0.9665
"161",0.9631
"162",0.9633
"163",0.9594
"164",0.962
"165",0.9558
"166",0.9591
"167",0.9609
"168",0.9579
"169",0.958
"170",0.9562
"171",0.9537
"172",0.9566
"173",0.9545
"174",0.956
"175",0.9551
"176",0.9534
"177",0.9517
"178",0.9473
"179",0.9507
"180",0.9492
"181",0.9494
"182",0.9462
"183",0.9477
"184",0.9436
"185",0.9499
"186",0.9444
"187",0.942
"188",0.942
"189",0.9411
"190",0.9382
"191",0.9457
"192",0.9353
"193",0.9392
"194",0.9396
"195",0.9392
"196",0.9311
"197",0.9356
"198",0.9365
"199",0.9317
"200",0.934
"201",0.9259
"202",0.9297
"203",0.9267
"204",0.931
"205",0.9238
"206",0.9275
"207",0.9238
"208",0.9244
"209",0.9216
"210",0.9239
"211",0.9253
"212",0.9221
"213",0.9219
"214",0.9206
"215",0.9142
"216",0.9112
"217",0.9185
"218",0.9138
"219",0.9113
"220",0.915
"221",0.9078
"222",0.9058
"223",0.9103
"224",0.911
"225",0.9119
"226",0.9028
"227",0.9051
"228",0.9063
"229",0.8984
"230",0.8963
"231",0.9043
"232",0.905
"233",0.9006
"234",0.8974
"235",0.8949
"236",0.8923
"237",0.8985
"238",0.8957
"239",0.8967
"240",0.8952
"241",0.8909
"242",0.8864
"243",0.8851
"244",0.8866
"245",0.887
"246",0.8828
"247",0.8874
"248",0.8813
"249",0.8841
"250",0.8812
"251",0.8845
"252",0.8759
"253",0.878
"254",0.8752
"255",0.8729
"256",0.8756
"257",0.8763
"258",0.8636
"259",0.8714
"260",0.8674
"261",0.861
"262",0.8666
"263",0.8682
"264",0.865
"265",0.8592
"266",0.863
"267",0.8613
"268",0.861
"269",0.8538
"270",0.8578
"271",0.8608
"272",0.8605
"273",0.8559
"274",0.8544
"275",0.8483
"276",0.8491
"277",0.8492
"278",0.843
"279",0.8388
"280",0.8395
"281",0.8449
"282",0.8437
"283",0.8331
"284",0.8446
"285",0.8363
"286",0.8332
"287",0.8405
"288",0.8383
"289",0.8402
"290",0.834
"291",0.8294
"292",0.8284
"293",0.834
"294",0.8271
"295",0.8207
"296",0.8222
"297",0.8217
"298",0.823
"299",0.8212
"300",0.8184
"301",0.8201
"302",0.8158
"303",0.8105
"304",0.8099
"305",0.8119
"306",0.8054
"307",0.8074
"308",0.8058
"309",0.804
"310",0.7998
