"","x"
"1",0.9362
"2",0.9307
"3",0.9333
"4",0.9315
"5",0.9339
"6",0.9312
"7",0.9261
"8",0.9339
"9",0.93
"10",0.9231
"11",0.9256
"12",0.9257
"13",0.9227
"14",0.9188
"15",0.9216
"16",0.9216
"17",0.9191
"18",0.9146
"19",0.9167
"20",0.9198
"21",0.9119
"22",0.9119
"23",0.9139
"24",0.912
"25",0.9109
"26",0.9054
"27",0.9086
"28",0.9096
"29",0.9055
"30",0.9025
"31",0.9031
"32",0.9036
"33",0.8991
"34",0.9001
"35",0.8981
"36",0.8928
"37",0.8991
"38",0.897
"39",0.8951
"40",0.895
"41",0.8928
"42",0.8931
"43",0.893
"44",0.8903
"45",0.8871
"46",0.8897
"47",0.8892
"48",0.8853
"49",0.8883
"50",0.8823
"51",0.8853
"52",0.8808
"53",0.8773
"54",0.8778
"55",0.879
"56",0.8797
"57",0.8764
"58",0.8761
"59",0.8723
"60",0.8719
"61",0.8785
"62",0.8742
"63",0.869
"64",0.8677
"65",0.8679
"66",0.8659
"67",0.8728
"68",0.8612
"69",0.8627
"70",0.8605
"71",0.8643
"72",0.8615
"73",0.8599
"74",0.8596
"75",0.8518
"76",0.8558
"77",0.8616
"78",0.847
"79",0.8541
"80",0.8483
"81",0.8529
"82",0.8516
"83",0.8544
"84",0.8454
"85",0.8497
"86",0.8424
"87",0.8426
"88",0.8469
"89",0.8379
"90",0.8386
"91",0.8407
"92",0.8427
"93",0.84
"94",0.8378
"95",0.8282
"96",0.8371
"97",0.8341
"98",0.8338
"99",0.831
"100",0.8326
"101",0.8398
"102",0.8313
"103",0.8287
"104",0.8324
"105",0.8234
"106",0.8288
"107",0.822
"108",0.8272
"109",0.8206
"110",0.8182
"111",0.8222
"112",0.8251
"113",0.8218
"114",0.8144
"115",0.8103
"116",0.8181
"117",0.8181
"118",0.8124
"119",0.8154
"120",0.8103
"121",0.8038
"122",0.804
"123",0.8138
"124",0.8018
"125",0.8026
"126",0.8033
"127",0.7989
"128",0.802
"129",0.8034
"130",0.8032
"131",0.7952
"132",0.7913
"133",0.7984
"134",0.7973
"135",0.7936
"136",0.801
"137",0.7902
"138",0.7937
"139",0.7901
"140",0.7853
"141",0.7823
"142",0.7901
"143",0.7793
"144",0.7836
"145",0.791
"146",0.7856
"147",0.7764
"148",0.781
"149",0.7757
"150",0.7775
"151",0.7794
"152",0.7705
"153",0.7707
"154",0.7731
"155",0.7734
"156",0.7817
"157",0.7702
"158",0.7708
"159",0.7682
"160",0.7723
"161",0.7685
"162",0.7554
"163",0.7693
"164",0.7748
"165",0.7656
"166",0.7613
"167",0.7637
"168",0.7602
"169",0.7637
"170",0.7618
"171",0.7548
"172",0.7568
"173",0.7502
"174",0.7488
"175",0.748
"176",0.7472
"177",0.7464
"178",0.7484
"179",0.7457
"180",0.7374
"181",0.749
"182",0.748
"183",0.7456
"184",0.7493
"185",0.7492
"186",0.7412
"187",0.7345
"188",0.7488
"189",0.7401
"190",0.7354
"191",0.734
"192",0.7358
"193",0.7313
"194",0.7422
"195",0.7331
"196",0.7345
"197",0.7369
"198",0.736
"199",0.7355
"200",0.73
"201",0.7226
"202",0.7247
"203",0.7219
"204",0.7308
"205",0.7189
"206",0.722
"207",0.7205
