"","x"
"1",1
"2",1
"3",1
"4",0.997
"5",0.998
"6",0.994
"7",0.996
"8",0.999
"9",0.996
"10",0.997
"11",0.997
"12",0.995
"13",0.998
"14",0.997
"15",0.998
"16",0.999
"17",0.996
"18",0.995
"19",0.995
"20",0.998
"21",0.995
"22",0.995
"23",0.997
"24",0.995
"25",0.996
"26",0.993
"27",0.995
"28",0.998
"29",0.996
"30",0.995
"31",0.992
"32",0.997
"33",0.998
"34",0.998
"35",0.992
"36",0.999
"37",0.997
"38",0.998
"39",0.994
"40",0.994
"41",0.991
"42",0.991
"43",0.999
"44",0.992
"45",0.992
"46",0.993
"47",0.997
"48",0.994
"49",0.995
"50",0.991
"51",0.992
"52",0.988
"53",0.996
"54",0.989
"55",0.994
"56",0.991
"57",0.996
"58",0.993
"59",0.997
"60",0.988
"61",0.994
"62",0.99
"63",0.995
"64",0.988
"65",0.987
"66",0.994
"67",0.99
"68",0.99
"69",0.992
"70",0.985
"71",0.99
"72",0.991
"73",0.992
"74",0.995
"75",0.993
"76",0.987
"77",0.992
"78",0.985
"79",0.989
"80",0.995
"81",0.995
"82",0.988
"83",0.989
"84",0.985
"85",0.984
"86",0.982
"87",0.991
"88",0.99
"89",0.984
"90",0.988
"91",0.984
"92",0.976
"93",0.978
"94",0.993
"95",0.982
"96",0.983
"97",0.989
"98",0.984
"99",0.987
"100",0.984
"101",0.982
"102",0.978
"103",0.984
"104",0.981
"105",0.986
"106",0.985
"107",0.981
"108",0.987
"109",0.982
"110",0.982
"111",0.98
"112",0.988
"113",0.976
"114",0.986
"115",0.986
"116",0.978
"117",0.981
"118",0.983
"119",0.971
"120",0.976
"121",0.979
"122",0.98
"123",0.973
"124",0.972
"125",0.978
"126",0.974
"127",0.98
"128",0.984
"129",0.979
"130",0.977
"131",0.978
"132",0.968
"133",0.975
"134",0.983
"135",0.973
"136",0.98
"137",0.971
"138",0.972
"139",0.978
"140",0.973
"141",0.979
"142",0.976
"143",0.978
"144",0.961
"145",0.973
"146",0.965
"147",0.967
"148",0.966
"149",0.964
"150",0.952
"151",0.974
"152",0.973
"153",0.962
"154",0.961
"155",0.969
"156",0.958
"157",0.961
"158",0.966
"159",0.96
"160",0.959
"161",0.971
"162",0.964
"163",0.973
"164",0.965
"165",0.966
"166",0.956
"167",0.958
"168",0.951
"169",0.958
"170",0.954
"171",0.955
"172",0.959
"173",0.958
"174",0.951
"175",0.956
"176",0.95
"177",0.962
"178",0.959
"179",0.958
"180",0.951
"181",0.958
"182",0.959
"183",0.958
"184",0.942
"185",0.958
"186",0.963
"187",0.946
"188",0.952
"189",0.945
"190",0.96
"191",0.936
"192",0.96
"193",0.949
"194",0.96
"195",0.949
"196",0.937
"197",0.948
"198",0.935
"199",0.939
"200",0.943
"201",0.947
"202",0.949
"203",0.941
"204",0.932
"205",0.942
"206",0.938
"207",0.935
"208",0.931
"209",0.92
"210",0.936
"211",0.924
"212",0.94
"213",0.946
"214",0.936
"215",0.926
"216",0.93
"217",0.943
"218",0.943
"219",0.924
"220",0.927
"221",0.921
"222",0.924
"223",0.919
"224",0.928
"225",0.919
"226",0.926
"227",0.935
"228",0.928
"229",0.932
"230",0.933
"231",0.918
"232",0.932
"233",0.94
"234",0.926
"235",0.936
"236",0.916
"237",0.924
"238",0.921
"239",0.925
"240",0.923
"241",0.919
"242",0.916
"243",0.916
"244",0.913
"245",0.914
"246",0.907
"247",0.915
"248",0.899
"249",0.901
"250",0.901
"251",0.913
"252",0.906
"253",0.904
"254",0.904
"255",0.917
"256",0.897
"257",0.909
"258",0.906
"259",0.902
"260",0.899
"261",0.917
"262",0.893
"263",0.925
"264",0.904
"265",0.929
"266",0.897
"267",0.911
"268",0.9
"269",0.913
"270",0.89
"271",0.92
"272",0.894
"273",0.92
"274",0.89
"275",0.881
"276",0.9
"277",0.895
"278",0.909
"279",0.881
"280",0.894
"281",0.905
"282",0.881
"283",0.908
"284",0.873
"285",0.896
"286",0.884
"287",0.87
"288",0.879
"289",0.884
"290",0.879
"291",0.894
"292",0.882
"293",0.875
"294",0.89
"295",0.878
"296",0.89
"297",0.868
"298",0.898
"299",0.867
"300",0.875
"301",0.876
"302",0.871
"303",0.877
"304",0.877
"305",0.859
"306",0.867
"307",0.861
"308",0.885
"309",0.867
"310",0.882
"311",0.878
"312",0.866
"313",0.861
"314",0.847
"315",0.851
"316",0.858
"317",0.862
"318",0.845
"319",0.859
"320",0.857
"321",0.853
"322",0.858
"323",0.867
"324",0.868
"325",0.858
"326",0.848
"327",0.846
"328",0.837
"329",0.842
"330",0.854
"331",0.861
"332",0.849
"333",0.837
"334",0.852
"335",0.841
"336",0.85
"337",0.848
"338",0.841
"339",0.857
"340",0.841
"341",0.819
"342",0.859
"343",0.845
"344",0.859
