"","x"
"1",0.975
"2",0.972
"3",0.966
"4",0.964
"5",0.958
"6",0.968
"7",0.96
"8",0.96
"9",0.962
"10",0.969
"11",0.968
"12",0.961
"13",0.966
"14",0.969
"15",0.954
"16",0.971
"17",0.951
"18",0.961
"19",0.962
"20",0.968
"21",0.951
"22",0.947
"23",0.947
"24",0.949
"25",0.946
"26",0.952
"27",0.961
"28",0.941
"29",0.951
"30",0.938
"31",0.958
"32",0.959
"33",0.958
"34",0.944
"35",0.945
"36",0.95
"37",0.945
"38",0.95
"39",0.943
"40",0.941
"41",0.94
"42",0.937
"43",0.947
"44",0.937
"45",0.946
"46",0.934
"47",0.945
"48",0.924
"49",0.928
"50",0.936
"51",0.94
"52",0.938
"53",0.938
"54",0.93
"55",0.923
"56",0.93
"57",0.931
"58",0.916
"59",0.926
"60",0.948
"61",0.923
"62",0.931
"63",0.915
"64",0.921
"65",0.923
"66",0.928
"67",0.941
"68",0.921
"69",0.917
"70",0.91
"71",0.923
"72",0.916
"73",0.931
"74",0.896
"75",0.894
"76",0.915
"77",0.916
"78",0.9
"79",0.902
"80",0.915
"81",0.905
"82",0.9
"83",0.898
"84",0.911
"85",0.901
"86",0.907
"87",0.885
"88",0.903
"89",0.896
"90",0.888
"91",0.902
"92",0.904
"93",0.893
"94",0.886
"95",0.879
"96",0.899
"97",0.886
"98",0.884
"99",0.887
"100",0.894
"101",0.895
"102",0.885
"103",0.877
"104",0.867
"105",0.887
"106",0.895
"107",0.88
"108",0.879
"109",0.89
"110",0.888
"111",0.854
"112",0.87
"113",0.865
"114",0.868
"115",0.854
"116",0.878
"117",0.857
"118",0.864
"119",0.855
"120",0.861
"121",0.887
"122",0.855
"123",0.86
"124",0.828
"125",0.855
"126",0.844
"127",0.843
"128",0.845
"129",0.852
"130",0.86
"131",0.857
"132",0.872
"133",0.825
"134",0.836
"135",0.85
"136",0.86
"137",0.84
"138",0.839
"139",0.833
"140",0.848
"141",0.85
"142",0.835
"143",0.814
"144",0.83
"145",0.804
"146",0.819
"147",0.831
"148",0.836
"149",0.838
"150",0.818
"151",0.824
"152",0.835
"153",0.807
"154",0.833
"155",0.82
"156",0.81
"157",0.81
"158",0.796
"159",0.813
"160",0.806
"161",0.797
"162",0.816
"163",0.819
"164",0.817
"165",0.799
"166",0.804
"167",0.818
"168",0.807
"169",0.806
"170",0.809
"171",0.814
"172",0.792
"173",0.805
"174",0.792
"175",0.774
"176",0.779
"177",0.792
"178",0.777
"179",0.773
"180",0.8
"181",0.779
"182",0.768
"183",0.802
"184",0.769
"185",0.78
"186",0.762
"187",0.776
"188",0.788
"189",0.754
"190",0.757
"191",0.779
"192",0.765
"193",0.778
"194",0.776
"195",0.779
"196",0.764
"197",0.764
"198",0.76
"199",0.748
"200",0.774
"201",0.744
"202",0.732
"203",0.758
"204",0.781
"205",0.738
"206",0.734
"207",0.748
"208",0.736
"209",0.725
"210",0.736
"211",0.743
"212",0.75
"213",0.751
"214",0.736
"215",0.73
"216",0.722
"217",0.721
"218",0.732
"219",0.739
"220",0.739
"221",0.729
"222",0.736
"223",0.731
"224",0.727
"225",0.709
"226",0.689
"227",0.722
"228",0.709
"229",0.709
"230",0.701
"231",0.681
"232",0.689
"233",0.693
"234",0.701
"235",0.672
"236",0.712
"237",0.692
"238",0.69
"239",0.702
"240",0.688
"241",0.705
"242",0.673
"243",0.675
"244",0.69
"245",0.684
"246",0.707
"247",0.685
"248",0.666
"249",0.676
"250",0.684
"251",0.71
"252",0.661
"253",0.684
"254",0.667
"255",0.675
"256",0.656
"257",0.69
"258",0.675
"259",0.651
"260",0.679
"261",0.672
"262",0.646
"263",0.658
"264",0.662
"265",0.657
"266",0.644
"267",0.659
"268",0.637
"269",0.645
"270",0.668
"271",0.619
"272",0.628
"273",0.64
"274",0.645
"275",0.646
"276",0.609
"277",0.619
"278",0.615
"279",0.639
"280",0.64
"281",0.616
"282",0.632
"283",0.627
"284",0.633
"285",0.625
"286",0.617
"287",0.582
"288",0.628
"289",0.604
"290",0.61
"291",0.621
"292",0.609
"293",0.615
"294",0.61
"295",0.597
"296",0.611
"297",0.612
"298",0.624
"299",0.609
"300",0.599
"301",0.583
"302",0.574
"303",0.57
"304",0.59
"305",0.58
"306",0.569
"307",0.573
"308",0.58
"309",0.59
"310",0.554
"311",0.574
"312",0.574
"313",0.562
"314",0.564
"315",0.567
"316",0.589
"317",0.583
"318",0.566
"319",0.561
"320",0.528
"321",0.583
"322",0.6
"323",0.554
"324",0.554
"325",0.564
"326",0.565
"327",0.584
"328",0.563
"329",0.575
"330",0.541
"331",0.527
"332",0.535
"333",0.539
"334",0.538
"335",0.525
"336",0.517
"337",0.546
"338",0.515
"339",0.552
"340",0.517
"341",0.504
"342",0.565
"343",0.532
"344",0.558
"345",0.501
"346",0.532
"347",0.521
"348",0.535
"349",0.507
"350",0.53
"351",0.519
"352",0.523
"353",0.514
"354",0.533
"355",0.522
"356",0.498
"357",0.53
"358",0.496
"359",0.524
"360",0.51
"361",0.524
"362",0.515
"363",0.501
"364",0.507
"365",0.521
"366",0.487
"367",0.53
"368",0.498
"369",0.501
"370",0.495
"371",0.513
"372",0.482
"373",0.485
"374",0.511
"375",0.499
"376",0.474
"377",0.466
"378",0.478
"379",0.51
"380",0.478
"381",0.451
"382",0.512
"383",0.454
"384",0.464
"385",0.438
"386",0.463
"387",0.479
"388",0.461
"389",0.484
"390",0.456
"391",0.457
"392",0.467
"393",0.477
"394",0.462
"395",0.458
"396",0.452
"397",0.457
"398",0.447
"399",0.442
"400",0.46
"401",0.455
"402",0.435
"403",0.429
"404",0.465
"405",0.46
"406",0.44
"407",0.454
"408",0.428
"409",0.433
"410",0.454
"411",0.454
"412",0.414
"413",0.441
"414",0.435
"415",0.446
"416",0.431
"417",0.476
"418",0.452
"419",0.415
"420",0.401
"421",0.46
"422",0.412
"423",0.434
"424",0.443
"425",0.456
"426",0.416
"427",0.409
"428",0.44
"429",0.44
"430",0.422
"431",0.418
"432",0.418
"433",0.391
"434",0.397
"435",0.423
"436",0.395
"437",0.41
"438",0.429
"439",0.409
"440",0.386
"441",0.388
"442",0.396
"443",0.405
"444",0.404
"445",0.403
"446",0.39
"447",0.389
"448",0.381
"449",0.411
"450",0.367
"451",0.39
"452",0.37
"453",0.377
"454",0.361
"455",0.384
"456",0.402
"457",0.397
"458",0.391
"459",0.38
"460",0.386
"461",0.39
"462",0.367
"463",0.365
"464",0.366
"465",0.341
"466",0.335
"467",0.347
"468",0.346
"469",0.372
"470",0.356
"471",0.397
"472",0.348
"473",0.38
"474",0.376
"475",0.37
"476",0.344
"477",0.351
"478",0.361
"479",0.339
"480",0.351
"481",0.344
"482",0.333
"483",0.347
"484",0.338
"485",0.342
"486",0.377
"487",0.376
"488",0.365
"489",0.344
"490",0.319
"491",0.333
"492",0.335
"493",0.332
"494",0.339
"495",0.352
"496",0.344
"497",0.32
"498",0.342
"499",0.326
"500",0.339
"501",0.35
"502",0.343
"503",0.337
"504",0.32
"505",0.324
"506",0.333
"507",0.333
"508",0.302
"509",0.328
"510",0.336
"511",0.319
"512",0.284
"513",0.314
"514",0.306
"515",0.298
"516",0.297
"517",0.295
"518",0.324
"519",0.315
"520",0.313
"521",0.294
"522",0.293
"523",0.263
"524",0.304
"525",0.309
"526",0.301
"527",0.308
"528",0.271
"529",0.31
"530",0.311
"531",0.317
"532",0.312
"533",0.301
"534",0.278
"535",0.291
"536",0.289
"537",0.298
"538",0.274
"539",0.277
"540",0.319
"541",0.284
"542",0.293
"543",0.272
"544",0.291
"545",0.291
"546",0.269
"547",0.286
"548",0.277
"549",0.297
"550",0.299
"551",0.269
"552",0.275
"553",0.291
"554",0.286
"555",0.281
"556",0.263
"557",0.283
"558",0.262
"559",0.27
"560",0.265
"561",0.284
"562",0.278
"563",0.264
"564",0.265
"565",0.275
"566",0.258
"567",0.265
"568",0.253
"569",0.269
"570",0.269
"571",0.238
"572",0.249
"573",0.252
"574",0.276
"575",0.245
"576",0.247
"577",0.292
"578",0.253
"579",0.242
"580",0.239
"581",0.262
"582",0.263
"583",0.272
"584",0.25
"585",0.254
"586",0.274
"587",0.253
"588",0.252
"589",0.265
"590",0.247
"591",0.26
"592",0.251
"593",0.24
"594",0.267
"595",0.241
"596",0.253
"597",0.239
"598",0.251
"599",0.225
"600",0.22
"601",0.261
"602",0.258
"603",0.239
"604",0.241
"605",0.254
"606",0.249
"607",0.2
"608",0.238
"609",0.254
