"","x"
"1",1
"2",1
"3",1
"4",1
"5",0.999
"6",1
"7",1
"8",1
"9",0.999
"10",0.999
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",0.999
"18",0.999
"19",0.999
"20",1
"21",1
"22",1
"23",0.999
"24",1
"25",0.998
"26",1
"27",0.999
"28",0.999
"29",1
"30",1
"31",0.999
"32",0.999
"33",1
"34",1
"35",1
"36",0.999
"37",0.999
"38",0.999
"39",0.999
"40",0.998
"41",0.997
"42",0.999
"43",1
"44",0.997
"45",0.998
"46",0.998
"47",1
"48",1
"49",0.999
"50",1
"51",0.999
"52",0.998
"53",0.998
"54",0.999
"55",0.998
"56",0.999
"57",0.997
"58",0.997
"59",0.999
"60",1
"61",0.997
"62",0.994
"63",1
"64",0.999
"65",0.998
"66",0.996
"67",0.997
"68",0.996
"69",0.998
"70",0.997
"71",0.996
"72",0.997
"73",0.995
"74",0.997
"75",0.994
"76",0.994
"77",0.997
"78",0.999
"79",0.995
"80",0.998
"81",0.996
"82",0.997
"83",1
"84",0.996
"85",0.999
"86",0.996
"87",0.996
"88",0.995
"89",0.998
"90",0.995
"91",1
"92",0.997
"93",0.995
"94",0.997
"95",0.993
"96",0.994
"97",0.997
"98",0.993
"99",0.993
"100",0.992
"101",0.998
"102",0.997
"103",0.997
"104",0.991
"105",0.996
"106",0.991
"107",0.995
"108",0.996
"109",0.992
"110",0.987
"111",0.99
"112",0.991
"113",0.994
"114",0.991
"115",0.984
"116",0.988
"117",0.988
"118",0.993
"119",0.99
"120",0.987
"121",0.993
"122",0.988
"123",0.988
"124",0.993
"125",0.99
"126",0.989
"127",0.985
"128",0.987
"129",0.982
"130",0.99
"131",0.983
"132",0.989
"133",0.984
"134",0.988
"135",0.989
"136",0.979
"137",0.986
"138",0.985
"139",0.986
"140",0.983
"141",0.985
"142",0.985
"143",0.984
"144",0.978
"145",0.985
"146",0.985
"147",0.984
"148",0.987
"149",0.98
"150",0.977
"151",0.976
"152",0.984
"153",0.978
"154",0.985
"155",0.98
"156",0.98
"157",0.982
"158",0.978
"159",0.978
"160",0.968
"161",0.985
"162",0.978
"163",0.972
"164",0.968
"165",0.976
"166",0.977
"167",0.966
"168",0.968
"169",0.967
"170",0.97
"171",0.97
"172",0.963
"173",0.969
"174",0.965
"175",0.98
"176",0.972
"177",0.976
"178",0.964
"179",0.962
"180",0.966
"181",0.959
"182",0.962
"183",0.967
"184",0.969
"185",0.964
"186",0.97
"187",0.956
"188",0.949
"189",0.964
"190",0.965
"191",0.965
"192",0.968
"193",0.96
"194",0.958
"195",0.959
"196",0.953
"197",0.964
"198",0.962
"199",0.957
"200",0.962
"201",0.957
"202",0.943
"203",0.95
"204",0.939
"205",0.932
"206",0.942
"207",0.958
"208",0.953
"209",0.943
"210",0.943
"211",0.95
"212",0.947
"213",0.946
"214",0.938
"215",0.949
"216",0.942
"217",0.933
"218",0.924
"219",0.936
"220",0.918
"221",0.944
"222",0.939
"223",0.948
"224",0.926
"225",0.935
"226",0.924
"227",0.917
"228",0.939
"229",0.928
"230",0.931
"231",0.92
"232",0.933
"233",0.93
"234",0.923
"235",0.934
"236",0.932
"237",0.906
"238",0.93
"239",0.92
"240",0.911
"241",0.944
"242",0.935
"243",0.923
"244",0.913
"245",0.92
"246",0.9
"247",0.911
"248",0.898
"249",0.909
"250",0.914
"251",0.902
"252",0.904
"253",0.892
"254",0.912
"255",0.896
"256",0.907
"257",0.893
"258",0.905
"259",0.893
"260",0.896
"261",0.892
"262",0.879
"263",0.889
"264",0.885
"265",0.875
"266",0.885
"267",0.897
"268",0.877
"269",0.874
"270",0.882
"271",0.886
"272",0.888
"273",0.864
"274",0.863
"275",0.887
"276",0.889
"277",0.869
"278",0.875
"279",0.872
"280",0.865
"281",0.855
"282",0.86
"283",0.857
"284",0.885
"285",0.846
"286",0.885
"287",0.865
"288",0.842
"289",0.856
"290",0.861
"291",0.849
"292",0.851
"293",0.861
"294",0.844
"295",0.823
"296",0.852
"297",0.845
"298",0.86
"299",0.848
"300",0.845
"301",0.845
"302",0.846
"303",0.832
"304",0.83
"305",0.839
"306",0.834
"307",0.836
"308",0.835
"309",0.825
"310",0.836
"311",0.829
"312",0.814
"313",0.835
"314",0.839
"315",0.801
"316",0.814
"317",0.821
"318",0.82
"319",0.822
"320",0.804
"321",0.787
"322",0.82
"323",0.808
"324",0.8
"325",0.803
"326",0.815
"327",0.798
"328",0.8
"329",0.801
"330",0.81
"331",0.779
"332",0.785
"333",0.798
"334",0.81
"335",0.785
"336",0.794
"337",0.795
"338",0.783
"339",0.789
"340",0.794
"341",0.788
"342",0.792
"343",0.748
"344",0.778
"345",0.756
"346",0.776
"347",0.759
"348",0.754
"349",0.743
"350",0.756
"351",0.761
"352",0.772
