"","x"
"1",0.833
"2",0.823
"3",0.812
"4",0.852
"5",0.837
"6",0.85
"7",0.817
"8",0.811
"9",0.814
"10",0.824
"11",0.814
"12",0.81
"13",0.796
"14",0.804
"15",0.819
"16",0.799
"17",0.802
"18",0.8
"19",0.784
"20",0.819
"21",0.804
"22",0.816
"23",0.777
"24",0.778
"25",0.787
"26",0.79
"27",0.774
"28",0.778
"29",0.783
"30",0.768
"31",0.775
"32",0.803
"33",0.772
"34",0.76
"35",0.764
"36",0.764
"37",0.78
"38",0.758
"39",0.76
"40",0.735
"41",0.777
"42",0.765
"43",0.752
"44",0.743
"45",0.758
"46",0.743
"47",0.75
"48",0.745
"49",0.738
"50",0.748
"51",0.742
"52",0.75
"53",0.729
"54",0.747
"55",0.744
"56",0.755
"57",0.713
"58",0.722
"59",0.723
"60",0.688
"61",0.718
"62",0.725
"63",0.72
"64",0.704
"65",0.714
"66",0.72
"67",0.72
"68",0.732
"69",0.689
"70",0.7
"71",0.702
"72",0.713
"73",0.715
"74",0.713
"75",0.682
"76",0.68
"77",0.707
"78",0.69
"79",0.7
"80",0.711
"81",0.693
"82",0.686
"83",0.683
"84",0.692
"85",0.659
"86",0.709
"87",0.677
"88",0.685
"89",0.67
"90",0.674
"91",0.666
"92",0.654
"93",0.645
"94",0.642
"95",0.661
"96",0.658
"97",0.665
"98",0.653
"99",0.659
"100",0.644
"101",0.629
"102",0.644
"103",0.655
"104",0.64
"105",0.678
"106",0.665
"107",0.635
"108",0.629
"109",0.615
"110",0.657
"111",0.626
"112",0.642
"113",0.665
"114",0.653
"115",0.619
"116",0.619
"117",0.626
"118",0.631
"119",0.614
"120",0.627
"121",0.629
"122",0.622
"123",0.604
"124",0.62
"125",0.608
"126",0.62
"127",0.58
"128",0.604
"129",0.613
"130",0.608
"131",0.613
"132",0.602
"133",0.576
"134",0.583
"135",0.547
"136",0.612
"137",0.59
"138",0.597
"139",0.579
"140",0.596
"141",0.574
"142",0.582
"143",0.574
"144",0.586
"145",0.545
"146",0.572
"147",0.581
"148",0.562
"149",0.545
"150",0.567
"151",0.562
"152",0.563
"153",0.565
"154",0.558
"155",0.538
"156",0.568
"157",0.539
"158",0.545
"159",0.561
"160",0.546
"161",0.569
"162",0.53
"163",0.547
"164",0.534
"165",0.527
"166",0.514
"167",0.562
"168",0.555
"169",0.575
"170",0.514
"171",0.548
"172",0.551
"173",0.561
"174",0.512
"175",0.545
"176",0.528
"177",0.518
"178",0.524
"179",0.509
"180",0.527
"181",0.515
"182",0.513
"183",0.527
"184",0.488
"185",0.503
"186",0.511
"187",0.508
"188",0.505
"189",0.485
"190",0.488
"191",0.505
"192",0.498
"193",0.512
"194",0.521
"195",0.492
"196",0.482
"197",0.499
"198",0.514
"199",0.504
"200",0.495
"201",0.461
"202",0.476
"203",0.473
"204",0.5
"205",0.461
"206",0.479
"207",0.513
"208",0.475
"209",0.46
"210",0.496
"211",0.484
"212",0.502
"213",0.475
"214",0.474
"215",0.469
"216",0.472
"217",0.492
"218",0.486
"219",0.458
"220",0.461
"221",0.449
"222",0.454
"223",0.451
"224",0.46
"225",0.457
"226",0.448
"227",0.43
"228",0.466
"229",0.473
"230",0.48
"231",0.42
"232",0.448
"233",0.449
"234",0.448
"235",0.473
"236",0.427
"237",0.439
"238",0.44
"239",0.417
"240",0.421
"241",0.419
"242",0.404
"243",0.43
"244",0.419
"245",0.442
"246",0.417
"247",0.436
"248",0.424
"249",0.431
"250",0.444
"251",0.427
"252",0.408
"253",0.411
"254",0.413
"255",0.396
"256",0.387
"257",0.419
"258",0.393
"259",0.42
"260",0.398
"261",0.408
"262",0.411
"263",0.42
"264",0.399
"265",0.409
"266",0.38
"267",0.41
"268",0.414
"269",0.388
"270",0.409
"271",0.402
"272",0.423
"273",0.369
"274",0.403
"275",0.396
"276",0.423
"277",0.394
"278",0.405
"279",0.394
"280",0.366
"281",0.412
"282",0.398
"283",0.398
"284",0.384
"285",0.403
"286",0.399
"287",0.395
"288",0.373
"289",0.376
"290",0.376
"291",0.347
"292",0.35
"293",0.342
"294",0.356
"295",0.391
"296",0.376
"297",0.372
"298",0.379
"299",0.38
"300",0.365
"301",0.353
"302",0.34
"303",0.351
"304",0.35
"305",0.354
"306",0.374
"307",0.341
"308",0.384
"309",0.35
"310",0.329
"311",0.356
"312",0.336
"313",0.359
"314",0.345
"315",0.335
"316",0.331
"317",0.332
"318",0.37
"319",0.331
"320",0.351
"321",0.325
"322",0.333
"323",0.346
"324",0.363
"325",0.326
"326",0.302
"327",0.352
"328",0.344
"329",0.352
"330",0.361
"331",0.319
"332",0.342
"333",0.339
"334",0.334
"335",0.331
"336",0.326
"337",0.345
"338",0.311
"339",0.302
"340",0.309
"341",0.313
"342",0.304
"343",0.328
"344",0.302
"345",0.314
"346",0.313
"347",0.33
"348",0.299
"349",0.3
"350",0.323
"351",0.304
"352",0.29
"353",0.307
"354",0.317
"355",0.323
"356",0.326
"357",0.298
"358",0.285
"359",0.297
"360",0.279
"361",0.32
"362",0.316
"363",0.317
"364",0.306
"365",0.309
"366",0.294
"367",0.299
"368",0.306
"369",0.316
"370",0.284
"371",0.285
"372",0.316
"373",0.28
"374",0.272
"375",0.285
"376",0.287
"377",0.292
"378",0.272
"379",0.321
"380",0.292
"381",0.295
"382",0.277
"383",0.275
"384",0.283
"385",0.291
"386",0.273
"387",0.263
"388",0.275
"389",0.27
"390",0.285
"391",0.264
"392",0.279
"393",0.253
"394",0.286
"395",0.27
"396",0.287
"397",0.263
"398",0.267
"399",0.265
"400",0.272
"401",0.255
"402",0.267
"403",0.259
"404",0.252
"405",0.258
"406",0.284
"407",0.282
"408",0.246
"409",0.279
"410",0.284
"411",0.253
"412",0.269
"413",0.254
"414",0.247
"415",0.268
"416",0.25
"417",0.238
"418",0.257
"419",0.251
"420",0.238
"421",0.259
"422",0.244
"423",0.257
"424",0.248
"425",0.222
"426",0.251
"427",0.241
"428",0.242
"429",0.25
"430",0.267
"431",0.237
"432",0.271
"433",0.244
"434",0.238
"435",0.23
"436",0.261
"437",0.222
"438",0.236
"439",0.253
"440",0.255
"441",0.226
"442",0.224
"443",0.217
"444",0.231
"445",0.238
"446",0.21
"447",0.232
"448",0.246
"449",0.244
"450",0.207
"451",0.24
"452",0.239
"453",0.223
"454",0.234
"455",0.217
"456",0.208
"457",0.219
"458",0.234
"459",0.211
"460",0.221
"461",0.231
"462",0.232
