"","x"
"1",0.557
"2",0.546
"3",0.549
"4",0.534
"5",0.533
"6",0.511
"7",0.536
"8",0.555
"9",0.529
"10",0.549
"11",0.525
"12",0.511
"13",0.533
"14",0.546
"15",0.543
"16",0.539
"17",0.55
"18",0.522
"19",0.526
"20",0.506
"21",0.555
"22",0.492
"23",0.533
"24",0.542
"25",0.536
"26",0.528
"27",0.52
"28",0.525
"29",0.521
"30",0.54
"31",0.515
"32",0.498
"33",0.505
"34",0.528
"35",0.519
"36",0.512
"37",0.52
"38",0.526
"39",0.501
"40",0.518
"41",0.488
"42",0.536
"43",0.481
"44",0.496
"45",0.501
"46",0.511
"47",0.498
"48",0.508
"49",0.498
"50",0.483
"51",0.479
"52",0.511
"53",0.513
"54",0.511
"55",0.522
"56",0.464
"57",0.505
"58",0.511
"59",0.46
"60",0.503
"61",0.473
"62",0.489
"63",0.53
"64",0.502
"65",0.494
"66",0.478
"67",0.499
"68",0.511
"69",0.49
"70",0.489
"71",0.503
"72",0.497
"73",0.471
"74",0.473
"75",0.495
"76",0.474
"77",0.511
"78",0.501
"79",0.459
"80",0.501
"81",0.48
"82",0.456
"83",0.459
"84",0.484
"85",0.464
"86",0.457
"87",0.469
"88",0.452
"89",0.472
"90",0.44
"91",0.468
"92",0.499
"93",0.454
"94",0.479
"95",0.474
"96",0.477
"97",0.491
"98",0.432
"99",0.485
"100",0.483
"101",0.478
"102",0.468
"103",0.459
"104",0.444
"105",0.437
"106",0.456
"107",0.488
"108",0.47
"109",0.449
"110",0.453
"111",0.473
"112",0.463
"113",0.439
"114",0.462
"115",0.431
"116",0.45
"117",0.435
"118",0.457
"119",0.45
"120",0.44
"121",0.467
"122",0.439
"123",0.442
"124",0.441
"125",0.46
"126",0.455
"127",0.431
"128",0.46
"129",0.443
"130",0.45
"131",0.444
"132",0.435
"133",0.451
"134",0.443
"135",0.453
"136",0.436
"137",0.438
"138",0.451
"139",0.402
"140",0.451
"141",0.455
"142",0.435
"143",0.414
"144",0.398
"145",0.404
"146",0.425
"147",0.395
"148",0.429
"149",0.411
"150",0.412
"151",0.408
"152",0.419
"153",0.407
"154",0.451
"155",0.403
"156",0.429
"157",0.44
"158",0.42
"159",0.398
"160",0.388
"161",0.446
"162",0.407
"163",0.432
"164",0.395
"165",0.407
"166",0.415
"167",0.41
"168",0.428
"169",0.408
"170",0.401
"171",0.43
"172",0.416
"173",0.41
"174",0.404
"175",0.427
"176",0.427
"177",0.397
"178",0.4
"179",0.395
"180",0.435
"181",0.413
"182",0.393
"183",0.413
"184",0.406
"185",0.395
"186",0.39
"187",0.397
"188",0.402
"189",0.382
"190",0.392
"191",0.385
"192",0.416
"193",0.388
"194",0.373
"195",0.365
"196",0.388
"197",0.407
"198",0.391
"199",0.409
"200",0.41
"201",0.376
"202",0.414
"203",0.394
"204",0.407
"205",0.358
"206",0.358
"207",0.39
"208",0.383
"209",0.402
"210",0.365
"211",0.376
"212",0.37
"213",0.369
"214",0.391
"215",0.379
"216",0.352
"217",0.367
"218",0.365
"219",0.397
"220",0.379
"221",0.382
"222",0.365
"223",0.371
"224",0.387
"225",0.401
"226",0.348
"227",0.38
"228",0.361
"229",0.357
"230",0.396
"231",0.349
"232",0.381
"233",0.385
"234",0.39
"235",0.368
"236",0.334
"237",0.36
"238",0.39
"239",0.37
"240",0.35
"241",0.357
"242",0.334
"243",0.392
"244",0.359
"245",0.351
"246",0.368
"247",0.333
"248",0.349
"249",0.342
"250",0.361
"251",0.383
"252",0.349
"253",0.337
"254",0.322
"255",0.348
"256",0.34
"257",0.327
"258",0.342
"259",0.343
"260",0.337
"261",0.356
"262",0.352
"263",0.309
"264",0.348
"265",0.374
"266",0.366
"267",0.313
"268",0.345
"269",0.346
"270",0.35
"271",0.331
"272",0.297
"273",0.365
"274",0.328
"275",0.325
"276",0.313
"277",0.31
"278",0.33
"279",0.338
"280",0.34
"281",0.314
"282",0.379
"283",0.312
"284",0.326
"285",0.304
"286",0.306
"287",0.319
"288",0.315
"289",0.295
"290",0.312
"291",0.325
"292",0.322
"293",0.316
"294",0.328
"295",0.322
"296",0.306
"297",0.29
"298",0.298
"299",0.299
"300",0.294
"301",0.318
"302",0.294
"303",0.305
"304",0.325
"305",0.3
"306",0.306
"307",0.307
"308",0.323
"309",0.302
"310",0.284
"311",0.301
"312",0.305
"313",0.299
"314",0.295
"315",0.299
"316",0.312
"317",0.301
"318",0.298
"319",0.304
"320",0.319
"321",0.29
"322",0.289
"323",0.3
"324",0.3
"325",0.307
"326",0.332
"327",0.287
"328",0.287
"329",0.284
"330",0.303
"331",0.291
"332",0.288
"333",0.28
"334",0.281
"335",0.297
"336",0.282
"337",0.287
"338",0.283
"339",0.28
"340",0.303
"341",0.282
"342",0.286
"343",0.286
"344",0.271
"345",0.3
"346",0.282
"347",0.291
"348",0.263
"349",0.28
"350",0.293
"351",0.289
"352",0.281
"353",0.291
"354",0.284
"355",0.28
"356",0.265
"357",0.291
"358",0.284
"359",0.282
"360",0.269
"361",0.258
"362",0.286
"363",0.292
"364",0.28
"365",0.259
"366",0.275
"367",0.256
"368",0.268
"369",0.256
"370",0.245
"371",0.268
"372",0.259
"373",0.269
"374",0.268
"375",0.269
"376",0.263
"377",0.293
"378",0.259
"379",0.261
"380",0.271
"381",0.276
"382",0.257
"383",0.249
"384",0.245
"385",0.257
"386",0.238
