"","x"
"1",0.566
"2",0.545
"3",0.534
"4",0.563
"5",0.566
"6",0.554
"7",0.542
"8",0.571
"9",0.521
"10",0.573
"11",0.566
"12",0.521
"13",0.538
"14",0.517
"15",0.564
"16",0.549
"17",0.542
"18",0.563
"19",0.532
"20",0.553
"21",0.507
"22",0.558
"23",0.514
"24",0.538
"25",0.549
"26",0.542
"27",0.542
"28",0.531
"29",0.56
"30",0.552
"31",0.53
"32",0.539
"33",0.553
"34",0.568
"35",0.538
"36",0.52
"37",0.522
"38",0.51
"39",0.525
"40",0.544
"41",0.537
"42",0.504
"43",0.53
"44",0.528
"45",0.536
"46",0.547
"47",0.535
"48",0.53
"49",0.524
"50",0.542
"51",0.476
"52",0.539
"53",0.548
"54",0.525
"55",0.519
"56",0.505
"57",0.512
"58",0.529
"59",0.529
"60",0.499
"61",0.523
"62",0.527
"63",0.524
"64",0.528
"65",0.5
"66",0.505
"67",0.502
"68",0.534
"69",0.521
"70",0.473
"71",0.519
"72",0.504
"73",0.528
"74",0.508
"75",0.515
"76",0.516
"77",0.514
"78",0.493
"79",0.502
"80",0.516
"81",0.507
"82",0.507
"83",0.491
"84",0.495
"85",0.508
"86",0.499
"87",0.516
"88",0.489
"89",0.518
"90",0.466
"91",0.502
"92",0.507
"93",0.501
"94",0.496
"95",0.5
"96",0.479
"97",0.501
"98",0.5
"99",0.482
"100",0.498
"101",0.477
"102",0.49
"103",0.489
"104",0.441
"105",0.51
"106",0.468
"107",0.497
"108",0.485
"109",0.498
"110",0.483
"111",0.463
"112",0.513
"113",0.499
"114",0.478
"115",0.468
"116",0.458
"117",0.507
"118",0.483
"119",0.469
"120",0.479
"121",0.468
"122",0.476
"123",0.471
"124",0.471
"125",0.465
"126",0.462
"127",0.493
"128",0.461
"129",0.467
"130",0.453
"131",0.448
"132",0.461
"133",0.472
"134",0.463
"135",0.451
"136",0.481
"137",0.472
"138",0.456
"139",0.47
"140",0.472
"141",0.435
"142",0.497
"143",0.444
"144",0.481
"145",0.456
"146",0.445
"147",0.461
"148",0.426
"149",0.448
"150",0.5
"151",0.468
"152",0.456
"153",0.487
"154",0.458
"155",0.446
"156",0.425
"157",0.445
"158",0.442
"159",0.451
"160",0.441
"161",0.44
"162",0.431
"163",0.456
"164",0.48
"165",0.45
"166",0.411
"167",0.45
"168",0.453
"169",0.459
"170",0.433
"171",0.434
"172",0.429
"173",0.433
"174",0.42
"175",0.465
"176",0.441
"177",0.435
"178",0.418
"179",0.437
"180",0.429
"181",0.405
"182",0.446
"183",0.429
"184",0.458
"185",0.409
"186",0.438
"187",0.424
"188",0.417
"189",0.452
"190",0.437
"191",0.421
"192",0.443
"193",0.422
"194",0.445
"195",0.409
"196",0.424
"197",0.43
"198",0.435
"199",0.444
"200",0.397
"201",0.425
"202",0.407
"203",0.412
"204",0.417
"205",0.417
"206",0.418
"207",0.429
"208",0.41
"209",0.421
"210",0.391
"211",0.422
"212",0.422
"213",0.427
"214",0.404
"215",0.414
"216",0.426
"217",0.448
"218",0.403
"219",0.412
"220",0.411
"221",0.397
"222",0.423
"223",0.397
"224",0.404
"225",0.404
"226",0.39
"227",0.401
"228",0.376
"229",0.431
"230",0.416
"231",0.412
"232",0.37
"233",0.375
"234",0.41
"235",0.392
"236",0.395
"237",0.393
"238",0.366
"239",0.417
"240",0.395
"241",0.407
"242",0.385
"243",0.378
"244",0.407
"245",0.362
"246",0.418
"247",0.395
"248",0.382
"249",0.377
"250",0.363
"251",0.384
"252",0.376
"253",0.396
"254",0.388
"255",0.403
"256",0.419
"257",0.352
"258",0.389
"259",0.396
"260",0.388
"261",0.385
"262",0.357
"263",0.384
"264",0.374
"265",0.354
"266",0.393
"267",0.381
"268",0.38
"269",0.374
"270",0.369
"271",0.366
"272",0.376
"273",0.383
"274",0.348
"275",0.378
"276",0.367
"277",0.349
"278",0.367
"279",0.351
"280",0.359
"281",0.364
"282",0.337
"283",0.377
"284",0.38
"285",0.379
"286",0.387
"287",0.349
"288",0.396
"289",0.332
"290",0.343
"291",0.333
"292",0.373
"293",0.351
"294",0.324
"295",0.362
"296",0.34
"297",0.375
"298",0.335
"299",0.34
"300",0.344
"301",0.377
"302",0.335
"303",0.341
"304",0.375
"305",0.337
"306",0.341
"307",0.346
"308",0.316
"309",0.318
"310",0.328
"311",0.335
"312",0.342
"313",0.351
"314",0.331
"315",0.339
"316",0.364
"317",0.316
"318",0.354
"319",0.347
"320",0.304
"321",0.34
"322",0.336
"323",0.326
"324",0.345
"325",0.321
"326",0.357
"327",0.303
"328",0.326
"329",0.331
"330",0.322
"331",0.344
"332",0.341
"333",0.332
"334",0.329
"335",0.337
"336",0.32
"337",0.282
"338",0.331
"339",0.332
"340",0.312
"341",0.334
"342",0.33
"343",0.313
"344",0.332
"345",0.298
"346",0.308
"347",0.312
"348",0.3
"349",0.314
"350",0.323
"351",0.32
"352",0.3
"353",0.316
"354",0.285
"355",0.293
"356",0.326
"357",0.327
"358",0.31
"359",0.321
"360",0.302
"361",0.321
"362",0.297
"363",0.317
"364",0.276
"365",0.299
"366",0.296
"367",0.277
"368",0.312
"369",0.293
"370",0.302
"371",0.275
"372",0.297
"373",0.282
"374",0.288
"375",0.284
"376",0.293
"377",0.27
"378",0.3
"379",0.315
"380",0.294
"381",0.287
"382",0.277
"383",0.321
"384",0.303
"385",0.293
"386",0.3
"387",0.296
"388",0.324
"389",0.299
"390",0.302
"391",0.252
"392",0.273
"393",0.298
"394",0.269
"395",0.298
"396",0.292
"397",0.282
"398",0.29
"399",0.265
"400",0.268
"401",0.289
"402",0.31
"403",0.257
"404",0.256
"405",0.27
"406",0.257
"407",0.285
"408",0.28
"409",0.279
"410",0.273
"411",0.243
"412",0.269
"413",0.275
"414",0.239
"415",0.254
"416",0.275
"417",0.291
"418",0.268
"419",0.259
"420",0.257
"421",0.267
"422",0.276
"423",0.275
"424",0.252
"425",0.267
"426",0.249
"427",0.265
"428",0.279
"429",0.245
"430",0.274
"431",0.262
"432",0.312
"433",0.233
"434",0.269
"435",0.253
"436",0.258
"437",0.272
"438",0.267
"439",0.269
"440",0.241
"441",0.252
"442",0.233
"443",0.247
"444",0.245
"445",0.233
"446",0.256
"447",0.257
"448",0.253
"449",0.248
"450",0.23
"451",0.254
"452",0.251
"453",0.238
"454",0.266
"455",0.265
"456",0.22
"457",0.252
"458",0.228
"459",0.255
"460",0.266
"461",0.22
"462",0.239
"463",0.247
"464",0.223
"465",0.226
"466",0.25
"467",0.235
"468",0.223
"469",0.246
"470",0.216
"471",0.232
"472",0.234
"473",0.244
"474",0.247
"475",0.23
"476",0.22
"477",0.221
"478",0.227
"479",0.239
"480",0.245
"481",0.237
"482",0.262
"483",0.217
"484",0.242
"485",0.229
"486",0.233
"487",0.224
"488",0.245
"489",0.216
"490",0.229
"491",0.227
"492",0.21
"493",0.238
"494",0.226
"495",0.232
"496",0.248
"497",0.213
"498",0.191
"499",0.219
"500",0.229
"501",0.215
"502",0.211
"503",0.224
"504",0.229
"505",0.219
"506",0.23
"507",0.227
"508",0.213
"509",0.215
"510",0.217
"511",0.198
"512",0.224
"513",0.2
"514",0.189
"515",0.21
"516",0.198
"517",0.216
"518",0.212
"519",0.216
"520",0.223
"521",0.21
"522",0.201
"523",0.236
"524",0.19
"525",0.215
"526",0.179
"527",0.203
"528",0.199
"529",0.192
"530",0.194
"531",0.233
"532",0.166
"533",0.198
"534",0.198
"535",0.211
"536",0.184
"537",0.196
"538",0.2
"539",0.195
"540",0.176
"541",0.193
"542",0.202
"543",0.193
"544",0.192
"545",0.19
"546",0.207
"547",0.172
"548",0.205
"549",0.197
"550",0.196
"551",0.199
"552",0.18
"553",0.194
"554",0.183
"555",0.204
"556",0.196
"557",0.186
"558",0.162
"559",0.184
"560",0.169
"561",0.172
"562",0.177
"563",0.175
"564",0.202
"565",0.22
"566",0.192
"567",0.178
"568",0.172
"569",0.197
"570",0.188
"571",0.185
"572",0.159
"573",0.171
"574",0.179
"575",0.18
"576",0.187
"577",0.197
"578",0.17
"579",0.17
"580",0.154
"581",0.187
"582",0.176
"583",0.158
"584",0.182
"585",0.176
"586",0.161
"587",0.155
"588",0.166
"589",0.169
"590",0.157
"591",0.168
"592",0.165
"593",0.186
"594",0.169
"595",0.157
"596",0.163
"597",0.138
"598",0.179
"599",0.164
"600",0.197
"601",0.167
"602",0.155
"603",0.156
"604",0.167
"605",0.165
"606",0.161
"607",0.153
"608",0.159
"609",0.137
"610",0.16
"611",0.143
"612",0.143
"613",0.151
"614",0.146
"615",0.157
"616",0.17
"617",0.166
"618",0.151
"619",0.17
"620",0.164
"621",0.146
"622",0.158
"623",0.154
"624",0.147
"625",0.156
"626",0.153
"627",0.153
"628",0.152
"629",0.14
"630",0.157
"631",0.151
"632",0.151
"633",0.152
"634",0.155
"635",0.144
"636",0.162
"637",0.158
"638",0.158
"639",0.157
"640",0.142
"641",0.167
"642",0.147
"643",0.142
"644",0.143
"645",0.14
"646",0.153
"647",0.138
"648",0.133
"649",0.122
"650",0.149
"651",0.131
"652",0.136
"653",0.14
"654",0.138
"655",0.154
"656",0.128
"657",0.142
"658",0.138
"659",0.154
"660",0.137
"661",0.149
"662",0.135
"663",0.139
"664",0.144
"665",0.143
"666",0.139
"667",0.135
"668",0.135
"669",0.13
"670",0.123
"671",0.159
"672",0.114
"673",0.128
"674",0.139
"675",0.122
"676",0.142
"677",0.136
"678",0.165
"679",0.145
"680",0.13
"681",0.128
"682",0.149
"683",0.141
"684",0.146
"685",0.132
"686",0.11
"687",0.117
"688",0.134
"689",0.129
"690",0.123
"691",0.119
"692",0.121
"693",0.118
"694",0.125
"695",0.134
"696",0.119
"697",0.136
"698",0.123
"699",0.123
"700",0.128
"701",0.103
"702",0.121
