"","x"
"1",0.25
"2",0.231
"3",0.243
"4",0.25
"5",0.249
"6",0.237
"7",0.24
"8",0.235
"9",0.241
"10",0.24
"11",0.26
"12",0.261
"13",0.258
"14",0.227
"15",0.233
"16",0.236
"17",0.252
"18",0.25
"19",0.254
"20",0.246
"21",0.246
"22",0.256
"23",0.242
"24",0.249
"25",0.258
"26",0.265
"27",0.269
"28",0.257
"29",0.245
"30",0.237
"31",0.247
"32",0.26
"33",0.253
"34",0.239
"35",0.252
"36",0.247
"37",0.252
"38",0.257
"39",0.262
"40",0.246
"41",0.242
"42",0.263
"43",0.259
"44",0.263
"45",0.254
"46",0.244
"47",0.251
"48",0.25
"49",0.251
"50",0.26
"51",0.257
"52",0.257
"53",0.246
"54",0.246
"55",0.232
"56",0.265
"57",0.24
"58",0.239
"59",0.266
"60",0.27
"61",0.255
"62",0.261
"63",0.268
"64",0.255
"65",0.266
"66",0.269
"67",0.239
"68",0.252
"69",0.266
"70",0.247
"71",0.237
"72",0.262
"73",0.284
"74",0.267
"75",0.244
"76",0.241
"77",0.279
"78",0.255
"79",0.237
"80",0.252
"81",0.255
"82",0.24
"83",0.224
"84",0.261
"85",0.275
"86",0.245
"87",0.249
"88",0.248
"89",0.244
"90",0.274
"91",0.269
"92",0.253
"93",0.252
"94",0.249
"95",0.25
"96",0.238
"97",0.233
"98",0.234
"99",0.27
"100",0.267
"101",0.274
"102",0.262
"103",0.243
"104",0.266
"105",0.256
"106",0.25
"107",0.256
"108",0.226
"109",0.264
"110",0.245
"111",0.258
"112",0.284
"113",0.253
"114",0.257
"115",0.235
"116",0.275
"117",0.261
"118",0.257
"119",0.268
"120",0.261
"121",0.239
"122",0.253
"123",0.255
"124",0.256
"125",0.252
"126",0.251
"127",0.261
"128",0.238
"129",0.245
"130",0.22
"131",0.232
"132",0.251
"133",0.23
"134",0.277
"135",0.236
"136",0.252
"137",0.277
"138",0.244
"139",0.265
"140",0.263
"141",0.254
"142",0.258
"143",0.269
"144",0.247
"145",0.24
"146",0.226
"147",0.261
"148",0.264
"149",0.247
"150",0.258
"151",0.235
"152",0.264
"153",0.24
"154",0.227
"155",0.228
"156",0.251
"157",0.248
"158",0.24
"159",0.24
"160",0.245
"161",0.26
"162",0.251
"163",0.244
"164",0.264
"165",0.253
"166",0.25
"167",0.243
"168",0.216
"169",0.237
"170",0.241
"171",0.209
"172",0.259
"173",0.255
"174",0.215
"175",0.239
"176",0.228
"177",0.255
"178",0.247
"179",0.266
"180",0.265
"181",0.26
"182",0.259
"183",0.252
"184",0.252
"185",0.239
"186",0.239
"187",0.235
"188",0.229
"189",0.252
"190",0.238
"191",0.237
"192",0.256
"193",0.248
"194",0.236
"195",0.239
"196",0.235
"197",0.25
"198",0.235
"199",0.243
"200",0.234
"201",0.237
"202",0.232
"203",0.263
"204",0.24
"205",0.261
"206",0.237
"207",0.219
"208",0.214
"209",0.243
"210",0.259
"211",0.232
"212",0.244
"213",0.238
"214",0.241
"215",0.243
"216",0.244
"217",0.22
"218",0.243
"219",0.225
"220",0.23
"221",0.225
"222",0.232
"223",0.226
"224",0.23
"225",0.237
"226",0.253
"227",0.225
"228",0.225
"229",0.231
"230",0.245
"231",0.223
"232",0.231
"233",0.246
"234",0.225
"235",0.256
"236",0.238
"237",0.234
"238",0.236
"239",0.234
"240",0.229
"241",0.245
"242",0.236
"243",0.246
"244",0.219
"245",0.202
"246",0.213
"247",0.231
"248",0.243
"249",0.251
"250",0.218
"251",0.22
"252",0.238
"253",0.242
"254",0.223
"255",0.229
"256",0.226
"257",0.21
"258",0.213
"259",0.225
"260",0.204
"261",0.207
"262",0.223
"263",0.218
"264",0.217
"265",0.22
"266",0.211
"267",0.207
"268",0.197
"269",0.229
"270",0.202
"271",0.225
"272",0.216
"273",0.212
"274",0.213
"275",0.249
"276",0.232
"277",0.22
"278",0.198
"279",0.213
"280",0.218
"281",0.216
"282",0.214
"283",0.239
"284",0.214
"285",0.217
"286",0.218
"287",0.224
"288",0.212
"289",0.215
"290",0.22
"291",0.216
"292",0.214
"293",0.214
"294",0.213
"295",0.235
"296",0.219
"297",0.233
"298",0.222
"299",0.2
"300",0.2
"301",0.237
"302",0.245
"303",0.196
"304",0.2
"305",0.221
"306",0.215
"307",0.202
"308",0.216
"309",0.201
"310",0.216
"311",0.22
"312",0.21
"313",0.22
"314",0.229
"315",0.204
"316",0.197
"317",0.194
"318",0.218
"319",0.167
"320",0.205
"321",0.205
"322",0.206
"323",0.204
"324",0.21
"325",0.217
"326",0.2
"327",0.205
"328",0.203
"329",0.211
"330",0.194
"331",0.207
"332",0.209
"333",0.208
"334",0.199
"335",0.22
"336",0.196
"337",0.234
"338",0.205
"339",0.191
"340",0.227
"341",0.179
"342",0.207
"343",0.204
"344",0.197
"345",0.186
"346",0.17
"347",0.192
"348",0.195
"349",0.195
"350",0.194
"351",0.193
"352",0.177
"353",0.196
"354",0.225
"355",0.224
"356",0.197
"357",0.198
"358",0.182
"359",0.184
"360",0.22
"361",0.187
"362",0.213
"363",0.207
"364",0.212
"365",0.183
"366",0.198
"367",0.182
"368",0.196
"369",0.198
"370",0.208
"371",0.189
"372",0.206
"373",0.208
"374",0.183
"375",0.18
"376",0.199
"377",0.18
"378",0.183
"379",0.185
"380",0.201
"381",0.18
"382",0.181
"383",0.189
"384",0.191
"385",0.189
"386",0.174
"387",0.169
"388",0.217
"389",0.2
"390",0.217
"391",0.173
"392",0.189
"393",0.176
"394",0.193
"395",0.182
"396",0.194
"397",0.197
"398",0.174
"399",0.217
"400",0.199
"401",0.173
"402",0.181
"403",0.184
"404",0.196
"405",0.172
"406",0.183
"407",0.18
"408",0.162
"409",0.184
"410",0.184
"411",0.188
"412",0.166
"413",0.154
"414",0.181
"415",0.174
"416",0.175
"417",0.199
"418",0.185
"419",0.185
"420",0.182
"421",0.176
"422",0.199
"423",0.185
"424",0.159
"425",0.159
"426",0.188
"427",0.173
"428",0.18
"429",0.192
"430",0.175
"431",0.171
"432",0.201
"433",0.182
"434",0.186
"435",0.18
"436",0.166
"437",0.147
"438",0.165
"439",0.164
"440",0.18
"441",0.174
"442",0.18
"443",0.164
"444",0.16
"445",0.148
"446",0.161
"447",0.17
"448",0.155
"449",0.157
"450",0.161
"451",0.156
"452",0.176
"453",0.154
"454",0.183
"455",0.177
"456",0.175
"457",0.167
"458",0.164
"459",0.174
"460",0.156
"461",0.172
"462",0.157
"463",0.164
"464",0.164
"465",0.183
"466",0.171
"467",0.172
"468",0.171
"469",0.178
"470",0.175
"471",0.149
"472",0.137
"473",0.157
"474",0.139
"475",0.168
"476",0.161
"477",0.169
"478",0.154
"479",0.166
"480",0.16
"481",0.178
"482",0.157
"483",0.162
"484",0.156
"485",0.161
"486",0.152
"487",0.172
"488",0.162
"489",0.173
"490",0.149
"491",0.147
"492",0.166
"493",0.153
"494",0.155
"495",0.146
"496",0.133
"497",0.131
"498",0.162
"499",0.127
"500",0.159
"501",0.129
"502",0.134
"503",0.166
"504",0.135
"505",0.149
"506",0.16
"507",0.146
"508",0.136
"509",0.142
"510",0.15
"511",0.155
"512",0.15
"513",0.142
"514",0.147
"515",0.161
"516",0.135
"517",0.167
"518",0.163
"519",0.157
"520",0.149
"521",0.161
"522",0.155
"523",0.133
"524",0.141
"525",0.145
"526",0.142
"527",0.168
"528",0.145
"529",0.147
"530",0.138
"531",0.134
"532",0.168
"533",0.146
"534",0.143
"535",0.137
"536",0.142
"537",0.138
"538",0.174
"539",0.133
"540",0.143
"541",0.149
"542",0.138
"543",0.138
"544",0.148
"545",0.152
"546",0.142
"547",0.134
"548",0.132
"549",0.138
"550",0.138
"551",0.151
"552",0.14
"553",0.154
"554",0.146
"555",0.12
"556",0.149
"557",0.113
"558",0.122
"559",0.134
"560",0.138
"561",0.141
"562",0.145
"563",0.165
"564",0.146
"565",0.13
"566",0.152
"567",0.117
"568",0.127
"569",0.138
"570",0.116
"571",0.128
"572",0.112
"573",0.134
"574",0.12
"575",0.139
"576",0.145
"577",0.129
"578",0.154
"579",0.123
"580",0.12
"581",0.133
"582",0.139
"583",0.139
"584",0.14
"585",0.136
"586",0.135
"587",0.137
"588",0.152
"589",0.131
