"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0.998
"9",1
"10",1
"11",0.999
"12",0.999
"13",1
"14",1
"15",0.999
"16",1
"17",1
"18",1
"19",1
"20",0.999
"21",0.999
"22",0.999
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",0.999
"30",0.999
"31",0.999
"32",1
"33",0.999
"34",1
"35",1
"36",0.999
"37",1
"38",1
"39",0.999
"40",0.999
"41",0.999
"42",1
"43",0.998
"44",1
"45",0.999
"46",0.998
"47",1
"48",0.999
"49",0.999
"50",0.998
"51",1
"52",1
"53",1
"54",1
"55",0.998
"56",1
"57",0.999
"58",1
"59",0.999
"60",0.999
"61",0.997
"62",0.999
"63",1
"64",0.999
"65",0.999
"66",1
"67",0.998
"68",0.999
"69",0.999
"70",0.999
"71",0.999
"72",0.999
"73",0.999
"74",0.998
"75",0.998
"76",0.999
"77",0.999
"78",0.999
"79",1
"80",0.997
"81",1
"82",0.999
"83",0.997
"84",0.997
"85",0.995
"86",0.995
"87",0.999
"88",0.999
"89",0.999
"90",0.999
"91",1
"92",0.999
"93",0.999
"94",0.995
"95",0.999
"96",0.999
"97",1
"98",0.997
"99",0.998
"100",0.994
"101",0.999
"102",0.997
"103",0.998
"104",0.997
"105",0.997
"106",1
"107",1
"108",0.995
"109",0.996
"110",0.995
"111",0.999
"112",0.997
"113",0.993
"114",0.997
"115",0.995
"116",0.993
"117",0.996
"118",0.997
"119",0.995
"120",0.998
"121",0.993
"122",0.995
"123",0.998
"124",0.997
"125",0.999
"126",0.997
"127",0.992
"128",0.995
"129",0.997
"130",0.994
"131",0.994
"132",0.996
"133",0.997
"134",0.989
"135",0.989
"136",0.994
"137",0.993
"138",0.994
"139",0.995
"140",0.996
"141",0.991
"142",0.994
"143",0.99
"144",0.993
"145",0.991
"146",0.992
"147",0.997
"148",0.996
"149",0.997
"150",0.995
"151",0.995
"152",0.993
"153",0.994
"154",0.998
"155",0.993
"156",0.989
"157",0.992
"158",0.996
"159",0.994
"160",0.986
"161",0.988
"162",0.982
"163",0.987
"164",0.99
"165",0.986
"166",0.987
"167",0.989
"168",0.991
"169",0.991
"170",0.987
"171",0.987
"172",0.983
"173",0.986
"174",0.982
"175",0.984
"176",0.989
"177",0.997
"178",0.99
"179",0.991
"180",0.988
"181",0.993
"182",0.993
"183",0.984
"184",0.988
"185",0.987
"186",0.984
"187",0.981
"188",0.988
"189",0.989
"190",0.987
"191",0.984
"192",0.978
"193",0.986
"194",0.983
"195",0.991
"196",0.984
"197",0.978
"198",0.977
"199",0.978
"200",0.984
"201",0.981
"202",0.987
"203",0.984
"204",0.98
"205",0.983
"206",0.984
"207",0.972
"208",0.976
"209",0.98
"210",0.982
"211",0.969
"212",0.978
"213",0.972
"214",0.979
"215",0.977
"216",0.978
"217",0.98
"218",0.979
"219",0.974
"220",0.978
"221",0.981
"222",0.964
"223",0.97
"224",0.971
"225",0.974
"226",0.977
"227",0.969
"228",0.971
"229",0.967
"230",0.969
"231",0.973
"232",0.972
"233",0.967
"234",0.965
"235",0.968
"236",0.965
"237",0.963
"238",0.972
"239",0.964
"240",0.961
"241",0.957
"242",0.957
"243",0.967
"244",0.965
"245",0.962
"246",0.967
"247",0.945
"248",0.965
"249",0.956
"250",0.963
"251",0.951
"252",0.966
"253",0.957
"254",0.959
"255",0.943
"256",0.965
"257",0.953
"258",0.952
"259",0.961
"260",0.964
"261",0.946
"262",0.953
"263",0.959
"264",0.953
"265",0.961
"266",0.941
"267",0.959
"268",0.938
"269",0.94
"270",0.944
"271",0.948
"272",0.942
"273",0.957
"274",0.937
"275",0.929
"276",0.941
"277",0.943
"278",0.948
"279",0.932
"280",0.942
"281",0.935
"282",0.941
"283",0.922
"284",0.926
"285",0.931
"286",0.95
"287",0.934
"288",0.945
"289",0.939
"290",0.939
"291",0.923
"292",0.931
"293",0.937
"294",0.937
"295",0.933
"296",0.936
"297",0.93
"298",0.937
"299",0.924
"300",0.936
"301",0.92
"302",0.937
"303",0.916
"304",0.909
"305",0.92
"306",0.897
"307",0.901
"308",0.926
"309",0.926
"310",0.907
"311",0.909
"312",0.921
"313",0.914
"314",0.9
"315",0.905
"316",0.903
"317",0.906
"318",0.904
"319",0.909
"320",0.913
"321",0.905
"322",0.9
"323",0.9
"324",0.879
"325",0.901
"326",0.896
"327",0.904
"328",0.885
"329",0.891
"330",0.886
"331",0.91
"332",0.899
"333",0.888
"334",0.906
"335",0.894
"336",0.889
"337",0.874
"338",0.871
"339",0.873
"340",0.883
"341",0.868
"342",0.878
"343",0.894
"344",0.885
"345",0.877
"346",0.874
"347",0.874
"348",0.856
"349",0.868
"350",0.879
"351",0.871
"352",0.86
"353",0.863
"354",0.863
"355",0.851
"356",0.884
