"","x"
"1",0.148
"2",0.139
"3",0.14
"4",0.154
"5",0.162
"6",0.164
"7",0.135
"8",0.136
"9",0.152
"10",0.146
"11",0.149
"12",0.154
"13",0.138
"14",0.143
"15",0.181
"16",0.14
"17",0.156
"18",0.154
"19",0.156
"20",0.137
"21",0.151
"22",0.146
"23",0.158
"24",0.15
"25",0.146
"26",0.147
"27",0.171
"28",0.146
"29",0.152
"30",0.148
"31",0.13
"32",0.167
"33",0.136
"34",0.152
"35",0.156
"36",0.141
"37",0.175
"38",0.153
"39",0.144
"40",0.156
"41",0.169
"42",0.163
"43",0.129
"44",0.163
"45",0.149
"46",0.143
"47",0.146
"48",0.144
"49",0.143
"50",0.155
"51",0.15
"52",0.133
"53",0.178
"54",0.157
"55",0.168
"56",0.163
"57",0.151
"58",0.17
"59",0.131
"60",0.172
"61",0.163
"62",0.157
"63",0.153
"64",0.154
"65",0.158
"66",0.152
"67",0.129
"68",0.14
"69",0.161
"70",0.168
"71",0.177
"72",0.163
"73",0.158
"74",0.169
"75",0.163
"76",0.164
"77",0.156
"78",0.163
"79",0.151
"80",0.17
"81",0.147
"82",0.15
"83",0.157
"84",0.169
"85",0.177
"86",0.165
"87",0.156
"88",0.167
"89",0.154
"90",0.159
"91",0.146
"92",0.14
"93",0.166
"94",0.175
"95",0.149
"96",0.163
"97",0.167
"98",0.149
"99",0.158
"100",0.166
"101",0.154
"102",0.167
"103",0.167
"104",0.141
"105",0.169
"106",0.157
"107",0.158
"108",0.158
"109",0.17
"110",0.163
"111",0.145
"112",0.15
"113",0.164
"114",0.164
"115",0.16
"116",0.152
"117",0.151
"118",0.145
"119",0.17
"120",0.181
"121",0.16
"122",0.162
"123",0.15
"124",0.153
"125",0.162
"126",0.16
"127",0.154
"128",0.163
"129",0.167
"130",0.146
"131",0.141
"132",0.166
"133",0.181
"134",0.145
"135",0.166
"136",0.156
"137",0.146
"138",0.149
"139",0.167
"140",0.182
"141",0.16
"142",0.161
"143",0.156
"144",0.185
"145",0.15
"146",0.156
"147",0.15
"148",0.167
"149",0.155
"150",0.157
"151",0.128
"152",0.168
"153",0.157
"154",0.147
"155",0.143
"156",0.162
"157",0.155
"158",0.155
"159",0.168
"160",0.168
"161",0.174
"162",0.156
"163",0.155
"164",0.161
"165",0.173
"166",0.158
"167",0.172
"168",0.164
"169",0.143
"170",0.158
"171",0.158
"172",0.161
"173",0.165
"174",0.152
"175",0.159
"176",0.146
"177",0.156
"178",0.155
"179",0.168
"180",0.158
"181",0.144
"182",0.151
"183",0.172
"184",0.142
"185",0.143
"186",0.164
"187",0.172
"188",0.152
"189",0.137
"190",0.146
"191",0.149
"192",0.161
"193",0.166
"194",0.162
"195",0.178
"196",0.167
"197",0.162
"198",0.143
"199",0.178
"200",0.141
"201",0.136
"202",0.15
"203",0.183
"204",0.168
"205",0.152
"206",0.161
"207",0.155
"208",0.14
"209",0.141
"210",0.153
"211",0.15
"212",0.146
"213",0.145
"214",0.14
"215",0.141
"216",0.161
"217",0.138
"218",0.149
"219",0.171
"220",0.132
"221",0.154
"222",0.159
"223",0.157
"224",0.145
"225",0.166
"226",0.144
"227",0.124
"228",0.14
"229",0.161
"230",0.166
"231",0.154
"232",0.16
"233",0.133
"234",0.153
"235",0.139
"236",0.137
"237",0.138
"238",0.159
"239",0.143
"240",0.153
"241",0.149
"242",0.138
"243",0.151
"244",0.134
"245",0.139
"246",0.129
"247",0.135
"248",0.15
"249",0.145
"250",0.14
"251",0.145
"252",0.145
"253",0.133
"254",0.147
"255",0.149
"256",0.146
"257",0.137
"258",0.162
"259",0.146
"260",0.128
"261",0.155
"262",0.147
"263",0.128
"264",0.141
"265",0.159
"266",0.14
"267",0.153
"268",0.149
"269",0.127
"270",0.133
"271",0.144
"272",0.159
"273",0.164
"274",0.137
"275",0.154
"276",0.15
"277",0.142
"278",0.143
"279",0.147
"280",0.146
"281",0.133
"282",0.136
"283",0.135
"284",0.146
"285",0.172
"286",0.142
"287",0.144
"288",0.15
"289",0.155
"290",0.132
"291",0.149
"292",0.132
"293",0.123
"294",0.153
"295",0.134
"296",0.153
"297",0.131
"298",0.145
"299",0.16
"300",0.146
"301",0.141
"302",0.137
"303",0.146
"304",0.157
"305",0.135
"306",0.143
"307",0.146
"308",0.119
"309",0.152
"310",0.125
"311",0.139
"312",0.155
"313",0.137
"314",0.144
"315",0.149
"316",0.122
"317",0.144
"318",0.146
"319",0.143
"320",0.148
"321",0.126
"322",0.154
"323",0.138
"324",0.139
"325",0.15
"326",0.129
"327",0.139
"328",0.141
"329",0.135
"330",0.122
"331",0.138
"332",0.139
"333",0.124
"334",0.133
"335",0.125
"336",0.143
"337",0.139
"338",0.135
"339",0.131
"340",0.125
"341",0.147
"342",0.136
"343",0.106
"344",0.137
"345",0.143
"346",0.15
"347",0.135
"348",0.152
"349",0.138
"350",0.131
"351",0.137
"352",0.14
"353",0.148
"354",0.122
"355",0.15
"356",0.138
