"","x"
"1",0.088
"2",0.099
"3",0.111
"4",0.113
"5",0.102
"6",0.104
"7",0.103
"8",0.101
"9",0.103
"10",0.087
"11",0.097
"12",0.12
"13",0.11
"14",0.112
"15",0.106
"16",0.113
"17",0.098
"18",0.131
"19",0.099
"20",0.104
"21",0.103
"22",0.106
"23",0.095
"24",0.087
"25",0.103
"26",0.111
"27",0.115
"28",0.093
"29",0.101
"30",0.101
"31",0.123
"32",0.104
"33",0.086
"34",0.103
"35",0.106
"36",0.095
"37",0.109
"38",0.105
"39",0.104
"40",0.113
"41",0.112
"42",0.124
"43",0.102
"44",0.106
"45",0.105
"46",0.122
"47",0.114
"48",0.107
"49",0.115
"50",0.097
"51",0.09
"52",0.105
"53",0.108
"54",0.101
"55",0.119
"56",0.095
"57",0.096
"58",0.096
"59",0.107
"60",0.115
"61",0.097
"62",0.09
"63",0.101
"64",0.101
"65",0.11
"66",0.102
"67",0.118
"68",0.113
"69",0.08
"70",0.09
"71",0.119
"72",0.093
"73",0.089
"74",0.101
"75",0.098
"76",0.094
"77",0.102
"78",0.113
"79",0.108
"80",0.113
"81",0.11
"82",0.112
"83",0.104
"84",0.095
"85",0.091
"86",0.085
"87",0.105
"88",0.085
"89",0.1
"90",0.096
"91",0.101
"92",0.094
"93",0.111
"94",0.102
"95",0.091
"96",0.101
"97",0.093
"98",0.109
"99",0.076
"100",0.107
"101",0.104
"102",0.104
"103",0.093
"104",0.101
"105",0.101
"106",0.101
"107",0.109
"108",0.111
"109",0.097
"110",0.105
"111",0.113
"112",0.098
"113",0.098
"114",0.101
"115",0.104
"116",0.11
"117",0.092
"118",0.103
"119",0.116
"120",0.1
"121",0.106
"122",0.117
"123",0.118
"124",0.099
"125",0.099
"126",0.113
"127",0.115
"128",0.109
"129",0.103
"130",0.095
"131",0.096
"132",0.113
"133",0.084
"134",0.12
"135",0.102
"136",0.114
"137",0.114
"138",0.1
"139",0.096
"140",0.106
"141",0.111
"142",0.088
"143",0.112
"144",0.109
"145",0.118
"146",0.126
"147",0.101
"148",0.117
"149",0.105
"150",0.111
"151",0.086
"152",0.089
"153",0.113
"154",0.108
"155",0.104
"156",0.103
"157",0.101
"158",0.098
"159",0.11
"160",0.089
"161",0.108
"162",0.116
"163",0.091
"164",0.088
"165",0.088
"166",0.103
"167",0.089
"168",0.111
"169",0.093
"170",0.117
"171",0.106
"172",0.114
"173",0.082
"174",0.091
"175",0.112
"176",0.108
"177",0.084
"178",0.121
"179",0.109
"180",0.098
"181",0.096
"182",0.087
"183",0.101
"184",0.085
"185",0.087
"186",0.103
"187",0.1
"188",0.092
"189",0.098
"190",0.108
"191",0.1
"192",0.116
"193",0.103
"194",0.103
"195",0.124
"196",0.103
"197",0.119
"198",0.098
"199",0.093
"200",0.101
"201",0.115
"202",0.09
"203",0.112
"204",0.112
"205",0.095
"206",0.086
"207",0.102
"208",0.094
"209",0.106
"210",0.103
"211",0.111
"212",0.099
"213",0.087
"214",0.119
"215",0.099
"216",0.081
"217",0.086
"218",0.096
"219",0.095
"220",0.1
"221",0.105
"222",0.094
"223",0.106
"224",0.109
"225",0.121
"226",0.102
"227",0.106
"228",0.097
"229",0.115
"230",0.113
"231",0.097
"232",0.104
"233",0.098
"234",0.102
"235",0.095
"236",0.114
"237",0.073
"238",0.087
"239",0.097
"240",0.126
"241",0.098
"242",0.095
"243",0.113
"244",0.094
"245",0.113
"246",0.077
"247",0.105
"248",0.089
"249",0.093
"250",0.119
"251",0.093
"252",0.097
"253",0.103
"254",0.101
"255",0.093
"256",0.103
"257",0.088
"258",0.102
"259",0.108
"260",0.098
"261",0.092
"262",0.098
"263",0.088
"264",0.106
"265",0.105
"266",0.092
"267",0.1
"268",0.084
"269",0.091
"270",0.105
"271",0.109
"272",0.114
"273",0.097
"274",0.09
"275",0.09
"276",0.091
"277",0.106
"278",0.093
"279",0.099
"280",0.081
"281",0.094
"282",0.084
"283",0.091
"284",0.094
"285",0.091
"286",0.089
"287",0.101
"288",0.086
"289",0.104
"290",0.079
"291",0.095
"292",0.093
"293",0.096
"294",0.119
"295",0.084
"296",0.092
"297",0.098
"298",0.08
"299",0.101
"300",0.103
"301",0.075
"302",0.105
"303",0.082
"304",0.096
"305",0.078
"306",0.09
"307",0.097
"308",0.095
"309",0.111
"310",0.1
"311",0.083
"312",0.089
"313",0.084
"314",0.085
"315",0.093
"316",0.085
"317",0.096
"318",0.077
"319",0.089
"320",0.089
"321",0.077
"322",0.091
"323",0.087
"324",0.076
"325",0.08
"326",0.108
"327",0.086
"328",0.09
"329",0.091
"330",0.095
"331",0.115
"332",0.084
"333",0.091
"334",0.073
"335",0.076
"336",0.086
"337",0.084
"338",0.081
"339",0.091
"340",0.101
"341",0.08
"342",0.104
"343",0.088
"344",0.071
"345",0.091
"346",0.073
"347",0.088
"348",0.076
"349",0.08
"350",0.096
"351",0.113
"352",0.077
"353",0.102
"354",0.089
"355",0.085
"356",0.097
"357",0.09
"358",0.096
"359",0.089
"360",0.086
"361",0.079
"362",0.094
"363",0.074
"364",0.091
"365",0.099
"366",0.079
"367",0.1
"368",0.071
"369",0.096
"370",0.081
"371",0.085
"372",0.073
"373",0.095
"374",0.089
"375",0.093
"376",0.085
"377",0.076
"378",0.093
"379",0.077
"380",0.094
"381",0.094
"382",0.086
"383",0.075
"384",0.078
"385",0.092
"386",0.086
"387",0.085
"388",0.095
"389",0.09
"390",0.074
"391",0.08
"392",0.107
"393",0.075
"394",0.087
"395",0.073
"396",0.08
"397",0.091
"398",0.079
"399",0.074
"400",0.095
"401",0.089
"402",0.085
"403",0.094
"404",0.08
"405",0.093
"406",0.079
"407",0.071
"408",0.082
"409",0.074
"410",0.085
"411",0.095
"412",0.097
"413",0.094
"414",0.103
"415",0.085
"416",0.074
"417",0.085
"418",0.084
"419",0.08
"420",0.082
"421",0.084
"422",0.074
"423",0.074
"424",0.062
"425",0.085
"426",0.079
"427",0.079
"428",0.091
"429",0.09
"430",0.075
"431",0.088
"432",0.087
"433",0.084
"434",0.08
"435",0.075
"436",0.092
"437",0.075
"438",0.075
"439",0.079
"440",0.096
"441",0.066
"442",0.08
"443",0.098
"444",0.107
"445",0.082
"446",0.07
"447",0.084
"448",0.085
"449",0.079
"450",0.073
"451",0.066
"452",0.068
"453",0.068
"454",0.061
"455",0.096
"456",0.082
"457",0.078
"458",0.083
"459",0.081
"460",0.097
"461",0.067
"462",0.109
"463",0.071
"464",0.077
"465",0.076
"466",0.072
"467",0.073
"468",0.084
"469",0.08
"470",0.09
"471",0.073
"472",0.079
"473",0.078
"474",0.087
"475",0.089
"476",0.081
"477",0.07
"478",0.095
"479",0.061
"480",0.081
"481",0.067
"482",0.082
"483",0.082
"484",0.084
"485",0.07
"486",0.078
"487",0.088
"488",0.074
"489",0.074
"490",0.076
"491",0.09
"492",0.086
"493",0.08
"494",0.074
"495",0.076
"496",0.06
"497",0.084
"498",0.087
"499",0.078
"500",0.08
"501",0.096
"502",0.086
"503",0.075
"504",0.086
"505",0.083
"506",0.076
"507",0.09
"508",0.082
"509",0.068
"510",0.083
"511",0.078
"512",0.076
"513",0.075
"514",0.081
"515",0.08
"516",0.077
"517",0.058
"518",0.07
"519",0.059
"520",0.063
"521",0.076
"522",0.076
"523",0.077
"524",0.08
"525",0.068
"526",0.065
"527",0.065
"528",0.082
"529",0.067
"530",0.077
"531",0.074
"532",0.074
"533",0.076
"534",0.071
"535",0.078
"536",0.071
"537",0.073
"538",0.089
"539",0.078
"540",0.067
"541",0.065
"542",0.059
"543",0.076
"544",0.093
"545",0.08
