"","x"
"1",1
"2",1
"3",1
"4",0.999
"5",0.998
"6",1
"7",1
"8",1
"9",0.999
"10",1
"11",1
"12",1
"13",0.997
"14",0.999
"15",1
"16",0.998
"17",1
"18",1
"19",1
"20",0.999
"21",1
"22",1
"23",0.999
"24",1
"25",0.998
"26",1
"27",1
"28",1
"29",0.999
"30",0.999
"31",1
"32",0.999
"33",0.999
"34",1
"35",0.999
"36",1
"37",1
"38",1
"39",0.997
"40",1
"41",1
"42",0.999
"43",1
"44",0.998
"45",1
"46",0.998
"47",0.997
"48",0.998
"49",0.997
"50",0.999
"51",0.997
"52",0.996
"53",0.997
"54",0.997
"55",0.998
"56",0.999
"57",0.997
"58",0.998
"59",0.998
"60",0.992
"61",0.997
"62",0.998
"63",0.999
"64",0.996
"65",0.999
"66",0.998
"67",0.998
"68",0.999
"69",0.999
"70",0.995
"71",0.999
"72",0.995
"73",0.999
"74",0.996
"75",0.997
"76",0.995
"77",0.996
"78",0.998
"79",1
"80",0.998
"81",0.997
"82",0.997
"83",0.998
"84",0.996
"85",0.995
"86",0.994
"87",0.993
"88",0.996
"89",0.995
"90",0.997
"91",0.993
"92",0.988
"93",0.995
"94",0.988
"95",0.994
"96",0.988
"97",0.994
"98",0.992
"99",0.992
"100",0.991
"101",0.996
"102",0.994
"103",0.997
"104",0.993
"105",0.989
"106",0.992
"107",0.992
"108",0.983
"109",0.993
"110",0.995
"111",0.991
"112",0.996
"113",0.988
"114",0.988
"115",0.988
"116",0.985
"117",0.985
"118",0.985
"119",0.99
"120",0.991
"121",0.994
"122",0.989
"123",0.984
"124",0.989
"125",0.994
"126",0.991
"127",0.991
"128",0.988
"129",0.99
"130",0.978
"131",0.984
"132",0.986
"133",0.982
"134",0.982
"135",0.988
"136",0.984
"137",0.989
"138",0.99
"139",0.984
"140",0.984
"141",0.988
"142",0.979
"143",0.987
"144",0.99
"145",0.984
"146",0.987
"147",0.98
"148",0.985
"149",0.986
"150",0.98
"151",0.98
"152",0.977
"153",0.972
"154",0.983
"155",0.984
"156",0.977
"157",0.968
"158",0.98
"159",0.985
"160",0.982
"161",0.982
"162",0.974
"163",0.972
"164",0.977
"165",0.978
"166",0.967
"167",0.971
"168",0.971
"169",0.973
"170",0.972
"171",0.973
"172",0.968
"173",0.971
"174",0.973
"175",0.975
"176",0.962
"177",0.981
"178",0.98
"179",0.965
"180",0.958
"181",0.972
"182",0.965
"183",0.955
"184",0.964
"185",0.961
"186",0.962
"187",0.966
"188",0.956
"189",0.961
"190",0.956
"191",0.962
"192",0.947
"193",0.969
"194",0.959
"195",0.96
"196",0.956
"197",0.957
"198",0.966
"199",0.96
"200",0.956
"201",0.948
"202",0.958
"203",0.951
"204",0.955
"205",0.951
"206",0.951
"207",0.957
"208",0.955
"209",0.948
"210",0.956
"211",0.962
"212",0.949
"213",0.941
"214",0.949
"215",0.951
"216",0.948
"217",0.946
"218",0.947
"219",0.941
"220",0.937
"221",0.941
"222",0.961
"223",0.931
"224",0.952
"225",0.947
"226",0.938
"227",0.932
"228",0.935
"229",0.941
"230",0.929
"231",0.915
"232",0.933
"233",0.946
"234",0.932
"235",0.92
"236",0.93
"237",0.942
"238",0.918
"239",0.932
"240",0.917
"241",0.936
"242",0.932
"243",0.92
"244",0.917
"245",0.929
"246",0.926
"247",0.931
"248",0.924
"249",0.914
"250",0.912
"251",0.908
"252",0.913
"253",0.919
"254",0.911
"255",0.913
"256",0.904
"257",0.91
"258",0.903
"259",0.929
"260",0.895
"261",0.895
"262",0.909
"263",0.906
"264",0.913
"265",0.906
"266",0.912
"267",0.91
"268",0.907
"269",0.895
"270",0.868
"271",0.892
"272",0.887
"273",0.897
"274",0.884
"275",0.909
"276",0.903
"277",0.893
"278",0.9
"279",0.887
"280",0.895
"281",0.876
"282",0.864
"283",0.869
"284",0.886
"285",0.883
"286",0.871
"287",0.868
"288",0.868
"289",0.874
"290",0.878
"291",0.869
"292",0.879
"293",0.869
"294",0.873
"295",0.874
"296",0.865
"297",0.881
"298",0.88
"299",0.863
"300",0.858
"301",0.855
"302",0.839
"303",0.864
"304",0.852
"305",0.846
"306",0.849
"307",0.858
"308",0.88
"309",0.868
"310",0.87
"311",0.856
"312",0.866
"313",0.84
"314",0.844
"315",0.829
"316",0.827
"317",0.84
"318",0.837
"319",0.84
"320",0.848
"321",0.827
"322",0.863
"323",0.84
"324",0.852
"325",0.828
"326",0.835
"327",0.829
"328",0.842
"329",0.837
"330",0.817
"331",0.823
"332",0.803
"333",0.801
"334",0.813
"335",0.796
"336",0.832
"337",0.824
"338",0.81
"339",0.804
"340",0.81
"341",0.804
"342",0.802
"343",0.797
"344",0.807
"345",0.81
"346",0.771
"347",0.815
"348",0.8
"349",0.814
"350",0.793
"351",0.797
"352",0.792
