"","x"
"1",0.859
"2",0.835
"3",0.852
"4",0.84
"5",0.86
"6",0.848
"7",0.818
"8",0.847
"9",0.844
"10",0.832
"11",0.842
"12",0.846
"13",0.839
"14",0.816
"15",0.819
"16",0.829
"17",0.836
"18",0.817
"19",0.82
"20",0.817
"21",0.817
"22",0.814
"23",0.805
"24",0.786
"25",0.805
"26",0.806
"27",0.801
"28",0.81
"29",0.804
"30",0.81
"31",0.814
"32",0.791
"33",0.818
"34",0.795
"35",0.803
"36",0.797
"37",0.819
"38",0.799
"39",0.792
"40",0.794
"41",0.797
"42",0.792
"43",0.799
"44",0.782
"45",0.787
"46",0.758
"47",0.787
"48",0.779
"49",0.786
"50",0.764
"51",0.767
"52",0.784
"53",0.756
"54",0.766
"55",0.77
"56",0.759
"57",0.762
"58",0.766
"59",0.755
"60",0.764
"61",0.751
"62",0.76
"63",0.769
"64",0.751
"65",0.73
"66",0.759
"67",0.752
"68",0.742
"69",0.737
"70",0.732
"71",0.738
"72",0.723
"73",0.743
"74",0.72
"75",0.727
"76",0.733
"77",0.73
"78",0.731
"79",0.734
"80",0.713
"81",0.739
"82",0.72
"83",0.72
"84",0.7
"85",0.689
"86",0.725
"87",0.719
"88",0.693
"89",0.715
"90",0.726
"91",0.718
"92",0.72
"93",0.743
"94",0.696
"95",0.677
"96",0.703
"97",0.708
"98",0.694
"99",0.721
"100",0.692
"101",0.69
"102",0.671
"103",0.69
"104",0.674
"105",0.697
"106",0.714
"107",0.693
"108",0.669
"109",0.657
"110",0.677
"111",0.65
"112",0.693
"113",0.667
"114",0.686
"115",0.688
"116",0.662
"117",0.659
"118",0.648
"119",0.668
"120",0.644
"121",0.652
"122",0.636
"123",0.653
"124",0.645
"125",0.652
"126",0.659
"127",0.656
"128",0.664
"129",0.649
"130",0.635
"131",0.645
"132",0.67
"133",0.617
"134",0.65
"135",0.655
"136",0.648
"137",0.622
"138",0.623
"139",0.632
"140",0.622
"141",0.609
"142",0.635
"143",0.614
"144",0.624
"145",0.608
"146",0.608
"147",0.595
"148",0.627
"149",0.612
"150",0.639
"151",0.612
"152",0.626
"153",0.621
"154",0.65
"155",0.585
"156",0.556
"157",0.6
"158",0.597
"159",0.583
"160",0.616
"161",0.602
"162",0.576
"163",0.581
"164",0.596
"165",0.579
"166",0.599
"167",0.587
"168",0.55
"169",0.591
"170",0.587
"171",0.562
"172",0.602
"173",0.592
"174",0.581
"175",0.579
"176",0.56
"177",0.583
"178",0.555
"179",0.544
"180",0.542
"181",0.558
"182",0.557
"183",0.574
"184",0.572
"185",0.553
"186",0.556
"187",0.564
"188",0.526
"189",0.536
"190",0.568
"191",0.567
"192",0.567
"193",0.543
"194",0.538
"195",0.522
"196",0.538
"197",0.578
"198",0.547
"199",0.544
"200",0.547
"201",0.513
"202",0.533
"203",0.51
"204",0.492
"205",0.542
"206",0.529
"207",0.501
"208",0.541
"209",0.531
"210",0.524
"211",0.518
"212",0.515
"213",0.529
"214",0.509
"215",0.519
"216",0.514
"217",0.52
"218",0.5
"219",0.532
"220",0.517
"221",0.5
"222",0.511
"223",0.487
"224",0.502
"225",0.506
"226",0.489
"227",0.493
"228",0.484
"229",0.498
"230",0.517
"231",0.505
"232",0.468
"233",0.485
"234",0.484
"235",0.492
"236",0.498
"237",0.472
"238",0.476
"239",0.472
"240",0.504
"241",0.506
"242",0.463
"243",0.486
"244",0.5
"245",0.452
"246",0.501
"247",0.486
"248",0.479
"249",0.453
"250",0.476
"251",0.463
"252",0.473
"253",0.477
"254",0.452
"255",0.479
"256",0.459
"257",0.453
"258",0.483
"259",0.468
"260",0.46
"261",0.429
"262",0.441
"263",0.457
"264",0.421
"265",0.436
"266",0.466
"267",0.444
"268",0.439
"269",0.415
"270",0.438
"271",0.406
"272",0.432
"273",0.427
"274",0.445
"275",0.452
"276",0.454
"277",0.474
"278",0.426
"279",0.403
"280",0.429
"281",0.433
"282",0.423
"283",0.415
"284",0.436
"285",0.424
"286",0.422
"287",0.428
"288",0.42
"289",0.392
"290",0.398
"291",0.444
"292",0.422
"293",0.442
"294",0.412
"295",0.382
"296",0.425
"297",0.415
"298",0.42
"299",0.406
"300",0.405
"301",0.408
"302",0.409
"303",0.4
"304",0.393
"305",0.414
"306",0.411
"307",0.396
"308",0.384
"309",0.383
"310",0.37
"311",0.392
"312",0.369
"313",0.397
"314",0.375
"315",0.396
"316",0.411
"317",0.373
"318",0.41
"319",0.37
"320",0.37
"321",0.39
"322",0.388
"323",0.358
"324",0.394
"325",0.364
"326",0.382
"327",0.384
