"","x"
"1",0.347
"2",0.37
"3",0.347
"4",0.333
"5",0.333
"6",0.375
"7",0.374
"8",0.352
"9",0.367
"10",0.351
"11",0.349
"12",0.303
"13",0.346
"14",0.36
"15",0.352
"16",0.356
"17",0.352
"18",0.387
"19",0.356
"20",0.352
"21",0.342
"22",0.328
"23",0.33
"24",0.348
"25",0.318
"26",0.358
"27",0.34
"28",0.357
"29",0.366
"30",0.349
"31",0.356
"32",0.358
"33",0.321
"34",0.358
"35",0.331
"36",0.341
"37",0.341
"38",0.335
"39",0.333
"40",0.366
"41",0.341
"42",0.335
"43",0.33
"44",0.336
"45",0.317
"46",0.335
"47",0.355
"48",0.365
"49",0.336
"50",0.33
"51",0.321
"52",0.324
"53",0.305
"54",0.35
"55",0.351
"56",0.337
"57",0.322
"58",0.297
"59",0.352
"60",0.345
"61",0.317
"62",0.317
"63",0.321
"64",0.328
"65",0.315
"66",0.302
"67",0.304
"68",0.337
"69",0.304
"70",0.356
"71",0.328
"72",0.339
"73",0.326
"74",0.322
"75",0.325
"76",0.291
"77",0.318
"78",0.327
"79",0.303
"80",0.31
"81",0.331
"82",0.311
"83",0.322
"84",0.319
"85",0.301
"86",0.326
"87",0.328
"88",0.318
"89",0.312
"90",0.302
"91",0.319
"92",0.309
"93",0.289
"94",0.303
"95",0.329
"96",0.293
"97",0.276
"98",0.329
"99",0.319
"100",0.321
"101",0.282
"102",0.285
"103",0.304
"104",0.294
"105",0.292
"106",0.289
"107",0.28
"108",0.297
"109",0.308
"110",0.311
"111",0.293
"112",0.275
"113",0.293
"114",0.278
"115",0.3
"116",0.326
"117",0.289
"118",0.31
"119",0.286
"120",0.3
"121",0.299
"122",0.295
"123",0.277
"124",0.314
"125",0.295
"126",0.291
"127",0.266
"128",0.29
"129",0.298
"130",0.284
"131",0.271
"132",0.312
"133",0.29
"134",0.268
"135",0.293
"136",0.27
"137",0.281
"138",0.272
"139",0.259
"140",0.243
"141",0.267
"142",0.273
"143",0.293
"144",0.282
"145",0.257
"146",0.263
"147",0.273
"148",0.275
"149",0.28
"150",0.273
"151",0.282
"152",0.28
"153",0.296
"154",0.26
"155",0.268
"156",0.266
"157",0.26
"158",0.254
"159",0.26
