"","x"
"1",0.372
"2",0.371
"3",0.384
"4",0.357
"5",0.363
"6",0.367
"7",0.383
"8",0.371
"9",0.371
"10",0.389
"11",0.364
"12",0.359
"13",0.35
"14",0.364
"15",0.373
"16",0.368
"17",0.371
"18",0.371
"19",0.368
"20",0.368
"21",0.359
"22",0.337
"23",0.361
"24",0.368
"25",0.361
"26",0.342
"27",0.354
"28",0.351
"29",0.365
"30",0.345
"31",0.371
"32",0.377
"33",0.359
"34",0.351
"35",0.378
"36",0.35
"37",0.351
"38",0.352
"39",0.352
"40",0.33
"41",0.371
"42",0.351
"43",0.373
"44",0.366
"45",0.36
"46",0.352
"47",0.356
"48",0.346
"49",0.325
"50",0.338
"51",0.333
"52",0.352
"53",0.367
"54",0.335
"55",0.359
"56",0.342
"57",0.325
"58",0.361
"59",0.361
"60",0.359
"61",0.347
"62",0.355
"63",0.33
"64",0.339
"65",0.324
"66",0.351
"67",0.34
"68",0.359
"69",0.351
"70",0.347
"71",0.344
"72",0.327
"73",0.335
"74",0.368
"75",0.321
"76",0.34
"77",0.345
"78",0.338
"79",0.321
"80",0.343
"81",0.335
"82",0.341
"83",0.359
"84",0.339
"85",0.318
"86",0.355
"87",0.318
"88",0.341
"89",0.322
"90",0.339
"91",0.336
"92",0.326
"93",0.314
"94",0.31
"95",0.339
"96",0.353
"97",0.302
"98",0.305
"99",0.327
"100",0.356
"101",0.298
"102",0.344
"103",0.309
"104",0.308
"105",0.317
"106",0.306
"107",0.35
"108",0.31
"109",0.293
"110",0.329
"111",0.319
"112",0.3
"113",0.309
"114",0.331
"115",0.325
"116",0.306
"117",0.308
"118",0.298
"119",0.295
"120",0.309
"121",0.314
"122",0.303
"123",0.301
"124",0.304
"125",0.29
"126",0.336
"127",0.297
"128",0.31
"129",0.304
"130",0.326
"131",0.295
"132",0.32
"133",0.288
"134",0.338
"135",0.272
"136",0.299
"137",0.327
"138",0.323
"139",0.298
"140",0.3
"141",0.301
"142",0.314
"143",0.293
"144",0.3
"145",0.285
"146",0.305
"147",0.322
"148",0.317
"149",0.321
"150",0.285
"151",0.281
"152",0.3
"153",0.271
"154",0.29
"155",0.311
"156",0.284
"157",0.279
"158",0.298
"159",0.31
"160",0.305
"161",0.294
"162",0.279
"163",0.283
"164",0.305
"165",0.272
"166",0.275
"167",0.275
"168",0.306
"169",0.292
"170",0.291
"171",0.256
"172",0.28
"173",0.273
"174",0.275
"175",0.279
"176",0.287
"177",0.301
"178",0.304
"179",0.286
"180",0.282
"181",0.295
"182",0.259
"183",0.299
"184",0.301
"185",0.263
"186",0.264
"187",0.285
"188",0.272
"189",0.272
"190",0.237
"191",0.294
"192",0.285
"193",0.267
"194",0.271
"195",0.292
"196",0.28
"197",0.269
"198",0.291
"199",0.274
"200",0.286
"201",0.267
"202",0.257
"203",0.278
"204",0.275
"205",0.275
"206",0.257
"207",0.299
"208",0.255
"209",0.273
"210",0.275
"211",0.267
"212",0.269
"213",0.268
"214",0.27
"215",0.279
"216",0.277
"217",0.26
"218",0.28
"219",0.241
"220",0.26
"221",0.268
"222",0.274
"223",0.254
"224",0.28
"225",0.25
"226",0.252
"227",0.241
"228",0.266
"229",0.274
"230",0.235
"231",0.235
"232",0.259
"233",0.281
"234",0.241
"235",0.249
"236",0.249
"237",0.252
"238",0.262
"239",0.278
"240",0.248
"241",0.265
"242",0.238
"243",0.241
"244",0.255
"245",0.251
"246",0.259
"247",0.247
"248",0.242
"249",0.25
"250",0.217
"251",0.245
"252",0.24
"253",0.24
"254",0.24
"255",0.256
"256",0.27
"257",0.257
"258",0.231
"259",0.245
"260",0.263
"261",0.241
"262",0.232
"263",0.263
"264",0.256
"265",0.22
"266",0.255
"267",0.251
"268",0.238
"269",0.235
"270",0.238
"271",0.227
"272",0.231
"273",0.25
"274",0.251
"275",0.251
"276",0.226
"277",0.242
"278",0.243
"279",0.23
"280",0.229
"281",0.234
"282",0.242
"283",0.223
"284",0.227
"285",0.228
"286",0.231
"287",0.192
"288",0.21
"289",0.217
"290",0.23
"291",0.234
"292",0.212
"293",0.238
"294",0.212
"295",0.215
"296",0.23
"297",0.213
"298",0.222
"299",0.215
"300",0.206
"301",0.216
"302",0.21
"303",0.208
"304",0.228
"305",0.221
"306",0.215
"307",0.209
"308",0.213
"309",0.207
"310",0.209
"311",0.193
"312",0.23
"313",0.226
"314",0.206
"315",0.214
"316",0.214
"317",0.222
"318",0.195
"319",0.188
"320",0.225
"321",0.205
"322",0.213
"323",0.227
"324",0.234
"325",0.203
"326",0.206
"327",0.223
"328",0.209
"329",0.223
"330",0.197
"331",0.203
"332",0.203
"333",0.221
"334",0.204
"335",0.224
"336",0.197
"337",0.191
"338",0.212
"339",0.223
"340",0.2
"341",0.241
"342",0.187
"343",0.209
"344",0.204
"345",0.184
"346",0.215
"347",0.214
"348",0.189
"349",0.203
"350",0.203
"351",0.175
"352",0.209
"353",0.203
"354",0.2
"355",0.228
"356",0.204
"357",0.206
"358",0.187
"359",0.177
"360",0.186
"361",0.21
"362",0.192
"363",0.202
"364",0.183
"365",0.173
"366",0.209
"367",0.193
"368",0.17
"369",0.197
"370",0.194
"371",0.184
"372",0.196
"373",0.17
"374",0.203
"375",0.199
"376",0.211
"377",0.181
"378",0.205
"379",0.171
"380",0.186
"381",0.206
"382",0.185
"383",0.192
"384",0.18
"385",0.212
"386",0.188
"387",0.191
"388",0.181
"389",0.188
"390",0.178
"391",0.187
"392",0.186
"393",0.19
"394",0.208
"395",0.196
"396",0.17
"397",0.174
"398",0.192
"399",0.184
"400",0.183
"401",0.18
"402",0.18
"403",0.175
"404",0.177
"405",0.192
"406",0.167
"407",0.193
"408",0.153
"409",0.167
"410",0.167
"411",0.177
"412",0.171
"413",0.186
"414",0.174
"415",0.179
"416",0.185
"417",0.173
"418",0.179
"419",0.188
"420",0.145
"421",0.147
"422",0.169
"423",0.19
"424",0.174
"425",0.172
"426",0.16
"427",0.172
"428",0.191
"429",0.181
"430",0.169
"431",0.181
"432",0.146
"433",0.165
"434",0.166
"435",0.155
"436",0.173
"437",0.15
"438",0.161
"439",0.149
"440",0.155
"441",0.173
"442",0.154
"443",0.171
"444",0.182
"445",0.154
"446",0.159
"447",0.164
"448",0.158
"449",0.176
"450",0.173
"451",0.167
"452",0.145
"453",0.187
"454",0.162
"455",0.169
"456",0.191
"457",0.158
"458",0.166
"459",0.158
"460",0.159
"461",0.159
"462",0.143
"463",0.158
"464",0.158
"465",0.157
"466",0.181
"467",0.167
"468",0.144
"469",0.15
"470",0.158
"471",0.146
"472",0.149
"473",0.137
"474",0.147
"475",0.162
"476",0.15
"477",0.155
"478",0.159
"479",0.15
"480",0.162
"481",0.16
"482",0.147
"483",0.128
"484",0.161
"485",0.144
"486",0.148
"487",0.165
"488",0.165
"489",0.161
"490",0.146
"491",0.161
"492",0.146
"493",0.177
"494",0.166
"495",0.118
"496",0.16
"497",0.139
"498",0.133
"499",0.164
"500",0.118
"501",0.145
"502",0.129
"503",0.131
"504",0.137
"505",0.148
"506",0.139
"507",0.117
"508",0.139
"509",0.149
"510",0.136
"511",0.148
"512",0.129
"513",0.149
"514",0.138
"515",0.112
"516",0.109
"517",0.147
"518",0.135
"519",0.129
"520",0.148
"521",0.161
"522",0.125
"523",0.152
"524",0.154
"525",0.132
"526",0.143
"527",0.136
"528",0.142
"529",0.128
"530",0.138
"531",0.137
"532",0.128
"533",0.135
"534",0.146
"535",0.133
"536",0.118
"537",0.134
"538",0.108
"539",0.137
"540",0.15
"541",0.13
"542",0.134
"543",0.128
"544",0.123
"545",0.143
"546",0.125
"547",0.131
"548",0.145
"549",0.131
"550",0.128
"551",0.122
"552",0.154
"553",0.12
"554",0.124
"555",0.118
"556",0.129
"557",0.12
"558",0.122
"559",0.122
"560",0.122
"561",0.119
"562",0.139
"563",0.138
"564",0.117
"565",0.109
"566",0.132
"567",0.128
"568",0.139
"569",0.126
"570",0.138
"571",0.118
"572",0.115
"573",0.129
"574",0.124
"575",0.12
"576",0.11
"577",0.125
"578",0.134
"579",0.129
"580",0.121
"581",0.1
"582",0.129
"583",0.115
"584",0.121
"585",0.13
"586",0.123
"587",0.131
"588",0.115
"589",0.105
"590",0.135
"591",0.13
"592",0.127
"593",0.096
"594",0.116
"595",0.125
"596",0.1
"597",0.097
"598",0.105
"599",0.123
"600",0.133
"601",0.122
"602",0.127
"603",0.125
"604",0.127
"605",0.109
"606",0.123
"607",0.116
"608",0.122
"609",0.11
"610",0.116
"611",0.11
"612",0.115
"613",0.095
"614",0.114
"615",0.117
"616",0.1
"617",0.108
"618",0.095
"619",0.118
"620",0.123
"621",0.119
"622",0.087
"623",0.088
"624",0.108
"625",0.131
"626",0.114
"627",0.103
"628",0.109
"629",0.108
"630",0.109
"631",0.109
"632",0.098
"633",0.107
"634",0.115
"635",0.097
"636",0.1
"637",0.096
"638",0.089
"639",0.111
"640",0.091
"641",0.087
"642",0.116
"643",0.098
"644",0.094
"645",0.117
"646",0.096
"647",0.11
"648",0.099
"649",0.107
"650",0.119
"651",0.11
"652",0.104
"653",0.103
"654",0.102
"655",0.098
"656",0.111
"657",0.09
"658",0.093
"659",0.115
"660",0.082
"661",0.097
"662",0.093
"663",0.096
"664",0.096
"665",0.082
"666",0.119
"667",0.093
"668",0.101
"669",0.1
"670",0.093
"671",0.1
"672",0.105
"673",0.098
"674",0.096
"675",0.089
"676",0.093
"677",0.102
"678",0.093
"679",0.096
"680",0.092
"681",0.096
"682",0.098
"683",0.113
"684",0.089
"685",0.116
"686",0.089
"687",0.102
"688",0.091
"689",0.092
"690",0.101
"691",0.102
"692",0.084
"693",0.1
"694",0.097
"695",0.085
"696",0.082
"697",0.085
"698",0.103
"699",0.076
"700",0.091
"701",0.083
"702",0.088
"703",0.098
"704",0.062
"705",0.087
"706",0.099
"707",0.087
"708",0.079
"709",0.09
"710",0.078
"711",0.085
"712",0.087
"713",0.093
"714",0.093
"715",0.094
"716",0.08
"717",0.077
"718",0.076
"719",0.092
"720",0.092
"721",0.082
"722",0.067
"723",0.067
"724",0.073
"725",0.079
"726",0.085
"727",0.082
"728",0.09
"729",0.081
"730",0.091
"731",0.089
"732",0.089
"733",0.091
"734",0.091
"735",0.09
"736",0.082
"737",0.094
"738",0.079
"739",0.095
"740",0.082
"741",0.09
"742",0.089
"743",0.074
"744",0.075
"745",0.072
"746",0.08
"747",0.082
"748",0.083
"749",0.079
"750",0.087
"751",0.084
"752",0.077
